	G1-122	G1-153	G1-154	G1-155	G1-156	G1-167	G1-168	G1-169	G1-17	G1-170	G1-18	G3-51	G3-52	G3-53	G3-54	G3-56	G3-710	G3-711	G3-712	G3-78	G3-79
G1-122	0.0	0.9003194888178914	0.655591054313099	0.8932907348242811	0.7782747603833866	0.3814696485623003	0.44792332268370605	0.32971246006389776	0.8792332268370607	0.41789137380191693	0.534185303514377	0.40894568690095845	0.48115015974440895	0.36869009584664536	0.4440894568690096	0.4894568690095847	0.5111821086261981	0.7258785942492013	0.5214057507987221	0.49329073482428115	0.7552715654952077
G1-153	0.9003194888178914	0.0	0.34313099041533546	0.26964856230031947	0.18338658146964856	0.9003194888178914	0.9003194888178914	0.9003194888178914	0.2146964856230032	0.8920127795527156	0.6977635782747604	0.8996805111821087	0.9003194888178914	0.9003194888178914	0.9003194888178914	0.9003194888178914	0.4070287539936102	0.21789137380191692	0.5361022364217253	0.5041533546325878	0.17635782747603834
G1-154	0.655591054313099	0.34313099041533546	0.0	0.24345047923322682	0.16038338658146964	0.7105431309904153	0.6913738019169329	0.7674121405750799	0.23514376996805111	0.7763578274760383	0.45559105431309904	0.7559105431309904	0.7795527156549521	0.7942492012779553	0.789776357827476	0.8146964856230032	0.33610223642172526	0.4696485623003195	0.28498402555910546	0.1891373801916933	0.46900958466453674
G1-155	0.8932907348242811	0.26964856230031947	0.24345047923322682	0.0	0.202555910543131	0.8920127795527156	0.8932907348242811	0.8920127795527156	0.0817891373801917	0.8849840255591054	0.6939297124600639	0.8920127795527156	0.8932907348242811	0.8920127795527156	0.8945686900958466	0.8932907348242811	0.49584664536741213	0.4562300319488818	0.5284345047923322	0.42875399361022365	0.43769968051118213
G1-156	0.7782747603833866	0.18338658146964856	0.16038338658146964	0.202555910543131	0.0	0.7782747603833866	0.7782747603833866	0.7827476038338658	0.13929712460063898	0.7916932907348243	0.5750798722044729	0.7795527156549521	0.7968051118210863	0.810223642172524	0.8006389776357827	0.8274760383386581	0.29648562300319486	0.31437699680511183	0.41405750798722046	0.321405750798722	0.3137380191693291
G1-167	0.3814696485623003	0.9003194888178914	0.7105431309904153	0.8920127795527156	0.7782747603833866	0.0	0.22364217252396165	0.1891373801916933	0.8779552715654952	0.22364217252396165	0.6856230031948882	0.2645367412140575	0.3661341853035144	0.2095846645367412	0.28306709265175717	0.3693290734824281	0.6817891373801916	0.8223642172523962	0.6920127795527157	0.6779552715654952	0.8415335463258786
G1-168	0.44792332268370605	0.9003194888178914	0.6913738019169329	0.8932907348242811	0.7782747603833866	0.22364217252396165	0.0	0.2971246006389776	0.8792332268370607	0.14952076677316295	0.678594249201278	0.20575079872204474	0.20063897763578276	0.273482428115016	0.23322683706070288	0.21022364217252396	0.6587859424920128	0.8089456869009585	0.6568690095846645	0.6562300319488817	0.8281150159744409
G1-169	0.32971246006389776	0.9003194888178914	0.7674121405750799	0.8920127795527156	0.7827476038338658	0.1891373801916933	0.2971246006389776	0.0	0.8779552715654952	0.2146964856230032	0.7533546325878594	0.2856230031948882	0.38083067092651757	0.18083067092651758	0.31182108626198085	0.3827476038338658	0.7514376996805112	0.8268370607028754	0.7533546325878594	0.7476038338658147	0.8460063897763578
G1-17	0.8792332268370607	0.2146964856230032	0.23514376996805111	0.0817891373801917	0.13929712460063898	0.8779552715654952	0.8792332268370607	0.8779552715654952	0.0	0.870926517571885	0.676038338658147	0.888817891373802	0.8792332268370607	0.8766773162939298	0.8837060702875399	0.8837060702875399	0.42619808306709267	0.4	0.513738019169329	0.41405750798722046	0.3769968051118211
G1-170	0.41789137380191693	0.8920127795527156	0.7763578274760383	0.8849840255591054	0.7916932907348243	0.22364217252396165	0.14952076677316295	0.2146964856230032	0.870926517571885	0.0	0.7603833865814696	0.20766773162939298	0.20447284345047922	0.16102236421725238	0.1450479233226837	0.1987220447284345	0.7297124600638978	0.789776357827476	0.7322683706070288	0.7271565495207668	0.8089456869009585
