# Constructed from biom file
#OTU ID	G1-122	G1-153	G1-154	G1-155	G1-156	G1-167	G1-168	G1-169	G1-17	G1-170	G1-18	G3-51	G3-52	G3-53	G3-54	G3-56	G3-710	G3-711	G3-712	G3-78	G3-79
80b92125266a65b5206ba2c6ec3cdcff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3ea6cacdad5c0daac175f887ac59b639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
0bd6345dc9fa65945c4a12a780c1e06b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ced377d1452e26d4cf841747ff78bf2c	109.0	0.0	0.0	0.0	0.0	203.0	388.0	213.0	0.0	396.0	0.0	285.0	389.0	303.0	499.0	466.0	0.0	0.0	0.0	0.0	0.0
01fe050ff54517868b061044d5fa954b	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	4.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0
9ca4e6bf22ba23dcb3faa9aa17367682	0.0	0.0	0.0	0.0	0.0	13.0	7.0	8.0	0.0	19.0	0.0	3.0	3.0	7.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
78a2c117f988d7f267847d4d5a7d7f58	0.0	0.0	0.0	0.0	0.0	44.0	33.0	27.0	0.0	14.0	0.0	26.0	36.0	26.0	25.0	27.0	0.0	0.0	0.0	0.0	0.0
85a28d57601e9d2923bd507b253cdbcd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	66.0	63.0	44.0	40.0	82.0	0.0	0.0	0.0	0.0	0.0
598fbeb75dae78a3e300a76c50d4d82b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	1.0	7.0	4.0
fac07b2893c7b432c5c424ca5ea83548	479.0	0.0	0.0	1.0	0.0	285.0	147.0	551.0	2.0	319.0	0.0	192.0	124.0	357.0	273.0	151.0	1.0	2.0	0.0	0.0	0.0
11fe995c561195e66817a43ffde5ff87	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
688c20321ba878c7bbe0bcd6746ee32c	0.0	0.0	0.0	0.0	0.0	118.0	225.0	138.0	0.0	171.0	0.0	159.0	168.0	114.0	124.0	166.0	0.0	0.0	0.0	0.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	0.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	4.0	0.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	5.0	4.0	6.0
2dc1dae7438f41afb789fe8a3a433eac	0.0	841.0	304.0	426.0	555.0	0.0	0.0	0.0	511.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	573.0	805.0	207.0	52.0	879.0
98a1fbbf48ab7a4bbb5b263707130115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	541.0	106.0	420.0	99.0	247.0	327.0	356.0	240.0	113.0	213.0	872.0	262.0	218.0	197.0	212.0	170.0	525.0	167.0	761.0	567.0	132.0
7b0f05ead6d2e7c841505a2892f761f7	239.0	31.0	72.0	38.0	66.0	86.0	109.0	79.0	26.0	126.0	83.0	274.0	315.0	193.0	180.0	250.0	130.0	286.0	146.0	140.0	223.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f365eed4b4c884bf45ea125ca3786f2a	62.0	0.0	0.0	0.0	0.0	274.0	110.0	167.0	0.0	105.0	0.0	120.0	39.0	192.0	37.0	66.0	0.0	0.0	0.0	0.0	0.0
162bdb2c7b5934c8bfddada185f8a786	105.0	18.0	40.0	22.0	34.0	80.0	64.0	65.0	48.0	66.0	285.0	31.0	53.0	49.0	41.0	41.0	128.0	21.0	55.0	112.0	28.0
b47788e49066a3575d492b8ed3edcf37	0.0	568.0	712.0	970.0	663.0	0.0	0.0	0.0	861.0	13.0	293.0	1.0	0.0	0.0	0.0	0.0	199.0	264.0	363.0	674.0	293.0
f467341bc7ab0dbbbbd1337602d06d92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9804cbb9c1b7c95059a296f45c8dff6	19.0	0.0	0.0	0.0	0.0	8.0	6.0	4.0	0.0	5.0	0.0	22.0	32.0	10.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0
ca5cd818236725961b867c6095db2331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2e37976982e02ccdefca3fd618c3212d	7.0	1.0	15.0	7.0	0.0	12.0	17.0	10.0	0.0	12.0	0.0	30.0	22.0	11.0	5.0	8.0	4.0	0.0	27.0	9.0	0.0
fab60d5bf7d90a067aff303734e6256f	4.0	0.0	0.0	0.0	0.0	111.0	102.0	61.0	0.0	95.0	0.0	87.0	92.0	57.0	111.0	100.0	0.0	0.0	0.0	0.0	0.0
