	shannon_entropy
G1-122	2.314491358130024
G1-153	1.468190583024524
G1-154	1.9015377615080538
G1-155	1.4613664062662275
G1-156	1.7883489303036704
G1-167	3.062674437035984
G1-168	2.9506293281613685
G1-169	2.8014764752341184
G1-17	1.5620005218794009
G1-170	3.0408682547011945
G1-18	1.7333378583187828
G3-51	3.205585564819252
G3-52	3.1219578046368985
G3-53	3.074528155942273
G3-54	2.893456340068516
G3-56	3.088985899709486
G3-710	2.086549412347388
G3-711	1.9109781925371458
G3-712	2.0041353905904566
G3-78	1.9008262623233134
G3-79	1.7780725100140675
