	G1-122	G1-153	G1-154	G1-155	G1-156	G1-167	G1-168	G1-169	G1-17	G1-170	G1-18	G3-51	G3-52	G3-53	G3-54	G3-56	G3-710	G3-711	G3-712	G3-78	G3-79
G1-122	0.0	0.28277799718325425	0.21665234251409243	0.17439744493110076	0.2850217750766724	0.1380928444443725	0.15638339110313682	0.13627658059196057	0.1766260138568763	0.3059968137406394	0.3074405285567258	0.21355350540825	0.21073011521591073	0.18975984207371344	0.1897129518093663	0.21528525312767294	0.27298854523969873	0.2644005283712978	0.30015991272057085	0.30015991272057085	0.3021509084893314
G1-153	0.28277799718325425	0.0	0.08957514414003097	0.1318305459344516	0.0028195684697903543	0.3750408165418926	0.3791138757277113	0.3738141983476483	0.13427840915356992	0.403329275188449	0.20869508792015376	0.3240028587225181	0.36649096559350774	0.35015336135168984	0.35011685772120155	0.3700430864549901	0.21446902514787575	0.23459636067552408	0.19958752450251716	0.19958752450251716	0.2018443422812567
G1-154	0.21665234251409243	0.08957514414003097	0.0	0.04641283849231798	0.09214214935772716	0.3068165808523982	0.3217289530497182	0.3054560577712426	0.04886070171143631	0.3529097803219238	0.1306198126905337	0.2573045959633313	0.3109358791709673	0.28332712244024383	0.2932290011192188	0.3147778070528234	0.1797799457452735	0.15907667301815576	0.12083631027249438	0.12083631027249438	0.12309312805123393
G1-155	0.17439744493110076	0.1318305459344516	0.04641283849231798	0.0	0.13427840915356992	0.2697460421182197	0.28541803410271227	0.26831276004978083	0.0024478632191183257	0.32108453477386784	0.16600075535057676	0.22106321475724489	0.27573771006643527	0.24701620370308172	0.2571263447991444	0.27977588793894576	0.13874532664714836	0.1180420541880231	0.15691245740536483	0.15691245740536483	0.15907666752617994
G1-156	0.2850217750766724	0.0028195684697903543	0.09214214935772716	0.13427840915356992	0.0	0.3769959567838607	0.3810401730738301	0.3757731759771716	0.1321540409505523	0.4050163860784777	0.2069206148170012	0.3259142683011223	0.3683578962643651	0.35206843841477026	0.35203204235930247	0.37189954914035284	0.21668388351661247	0.23293627360639477	0.2018443422812567	0.2018443422812567	0.20003897602004003
G1-167	0.1380928444443725	0.3750408165418926	0.3068165808523982	0.2697460421182197	0.3769959567838607	0.0	0.037522141014117626	0.002102830387135634	0.2717011823601878	0.2070568490934287	0.37849461366751913	0.0875507999643324	0.09904790496982487	0.06377245758224427	0.07524669061606787	0.10420773081817052	0.18572080593223825	0.16701753264818942	0.20213293152950992	0.20213293152950992	0.2040880717657104
G1-168	0.15638339110313682	0.3791138757277113	0.3217289530497182	0.28541803410271227	0.3810401730738301	0.037522141014117626	0.0	0.03555346380417642	0.28733311117686006	0.1773476494650115	0.39060722172042633	0.0677678861489823	0.06442111681968803	0.039563529947828545	0.03950794751399232	0.06982065241882546	0.19258677848149755	0.18479455486305707	0.21919039717049868	0.21919039717049868	0.22110547423911278
G1-169	0.13627658059196057	0.3738141983476483	0.3054560577712426	0.26831276004978083	0.3757731759771716	0.002102830387135634	0.03555346380417642	0.0	0.27027173767930407	0.20572111294503606	0.3773980342971017	0.08946952586888501	0.0973231014252773	0.06192174517903901	0.07342946022894127	0.10250264557572157	0.18412260608475525	0.1653826235678133	0.20056694404458947	0.20056694404458947	0.20252592166832242
G1-17	0.1766260138568763	0.13427840915356992	0.04886070171143631	0.0024478632191183257	0.1321540409505523	0.2717011823601878	0.28733311117686006	0.27027173767930407	0.0	0.32276303258928135	0.16420681704724902	0.22297462433584905	0.27759409951233294	0.2489312807661621	0.2590304378774639	0.28162192694842364	0.14090953676796347	0.11612917200908478	0.15907666752617994	0.15907666752617994	0.15725278547521668
G1-170	0.3059968137406394	0.403329275188449	0.3529097803219238	0.32108453477386784	0.4050163860784777	0.2070568490934287	0.1773476494650115	0.20572111294503606	0.32276303258928135	0.0	0.4112874431348268	0.1303216118237812	0.1717074306015552	0.15295388343554028	0.15291211065719854	0.17580011552593824	0.23996306492194994	0.23289158795747125	0.26303833620358175	0.26303833620358175	0.26471683401474433
G1-18	0.3074405285567258	0.20869508792015376	0.1306198126905337	0.16600075535057676	0.2069206148170012	0.37849461366751913	0.39060722172042633	0.3773980342971017	0.16420681704724902	0.4112874431348268	0.0	0.332431375434807	0.3789455447730131	0.35600739641482915	0.3645581983951121	0.3820766239916292	0.2723089144791075	0.2505245785365407	0.22362845988900304	0.22362845988900304	0.22207410258844754
