"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_535420d26ad6aae984776191234353e8",8,FALSE,TRUE,TRUE,TRUE
"2","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_74543c864b9ce6cb7bce59303a0ce289",6,FALSE,FALSE,FALSE,TRUE
"3","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",7,FALSE,FALSE,TRUE,TRUE
"4","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",8,FALSE,TRUE,TRUE,TRUE
"5","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter__d9804cbb9c1b7c95059a296f45c8dff6",6,FALSE,FALSE,FALSE,TRUE
"6","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_070c1d2716e210de82e3d9e4a19e5847",8,FALSE,TRUE,TRUE,TRUE
"7","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_5877dadce57b3bd826fe6bfa04a97b56",8,FALSE,TRUE,TRUE,TRUE
"8","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_b97b8c235d9deb0d079b6de3a4822ed2",9,TRUE,TRUE,TRUE,TRUE
"9","Xk__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Delftia_s__unassigned_7f00fdb10cb5bb5d8919744dd3f55434",7,FALSE,FALSE,TRUE,TRUE
"10","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",8,FALSE,TRUE,TRUE,TRUE
