	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-1103	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26	G2-27	G2-28	G2-29
G1-111	0.0	0.18146964856230033	0.9514376996805112	0.9712460063897763	0.20191693290734825	0.41405750798722046	0.339297124600639	0.3661341853035144	0.9686900958466453	0.931629392971246	0.9514376996805112	0.9246006389776358	0.9252396166134186	0.9207667731629393	0.9571884984025559	0.44792332268370605	0.5348242811501598	0.4083067092651757	0.36741214057507987	0.4779552715654952	0.9571884984025559	0.33993610223642173	0.9565495207667731	0.9552715654952076	0.9099041533546326	0.9246006389776358	0.9271565495207668
G1-112	0.18146964856230033	0.0	0.9450479233226837	0.9629392971246007	0.2159744408945687	0.4172523961661342	0.4	0.2977635782747604	0.9731629392971246	0.9303514376996805	0.9444089456869009	0.9258785942492013	0.9284345047923322	0.9265175718849841	0.9456869009584664	0.39680511182108624	0.6063897763578274	0.3961661341853035	0.41214057507987223	0.4095846645367412	0.9456869009584664	0.4485623003194888	0.9450479233226837	0.9444089456869009	0.9092651757188498	0.9252396166134186	0.9284345047923322
G1-180	0.9514376996805112	0.9450479233226837	0.0	0.025559105431309903	0.9661341853035144	0.9635782747603834	0.9712460063897763	0.9437699680511182	0.9699680511182108	0.4172523961661342	0.32204472843450477	0.4146964856230032	0.4849840255591054	0.4440894568690096	0.5079872204472844	0.9150159744408946	0.9571884984025559	0.8568690095846645	0.8792332268370607	0.9252396166134186	0.4306709265175719	0.8964856230031949	0.7546325878594249	0.9469648562300319	0.4964856230031949	0.4594249201277955	0.48753993610223645
G1-182	0.9712460063897763	0.9629392971246007	0.025559105431309903	0.0	0.9827476038338658	0.982108626198083	0.9897763578274761	0.9629392971246007	0.9661341853035144	0.4185303514376997	0.3246006389776358	0.41789137380191693	0.4773162939297125	0.44664536741214056	0.5143769968051118	0.9335463258785942	0.9757188498402556	0.8753993610223643	0.8977635782747604	0.9437699680511182	0.4370607028753994	0.9150159744408946	0.7610223642172524	0.9488817891373802	0.5041533546325878	0.4638977635782748	0.4830670926517572
G1-183	0.20191693290734825	0.2159744408945687	0.9661341853035144	0.9827476038338658	0.0	0.546964856230032	0.24345047923322682	0.3904153354632588	0.9801916932907349	0.9706070287539936	0.8389776357827476	0.9667731629392972	0.9693290734824281	0.9674121405750798	0.8396166134185303	0.3246006389776358	0.4913738019169329	0.334185303514377	0.5028753993610223	0.3405750798722045	0.8396166134185303	0.42236421725239615	0.8389776357827476	0.8389776357827476	0.8517571884984025	0.9661341853035144	0.9693290734824281
G1-184	0.41405750798722046	0.4172523961661342	0.9635782747603834	0.982108626198083	0.546964856230032	0.0	0.5431309904153354	0.26517571884984026	0.9776357827476039	0.9623003194888179	0.9750798722044729	0.9578274760383386	0.9603833865814696	0.9584664536741214	0.9763578274760384	0.5884984025559106	0.534185303514377	0.5335463258785943	0.4402555910543131	0.6562300319488817	0.9763578274760384	0.6044728434504792	0.9757188498402556	0.9750798722044729	0.9533546325878595	0.9571884984025559	0.9603833865814696
G1-185	0.339297124600639	0.4	0.9712460063897763	0.9897763578274761	0.24345047923322682	0.5431309904153354	0.0	0.4217252396166134	0.9853035143769968	0.9706070287539936	0.7853035143769969	0.9667731629392972	0.9693290734824281	0.9674121405750798	0.7859424920127795	0.49009584664536743	0.4773162939297125	0.5463258785942492	0.5118210862619809	0.5239616613418531	0.7859424920127795	0.2926517571884984	0.7853035143769969	0.7853035143769969	0.8517571884984025	0.9661341853035144	0.9693290734824281
G1-186	0.3661341853035144	0.2977635782747604	0.9437699680511182	0.9629392971246007	0.3904153354632588	0.26517571884984026	0.4217252396166134	0.0	0.9738019169329073	0.9303514376996805	0.8753993610223643	0.9265175718849841	0.9297124600638977	0.9265175718849841	0.8753993610223643	0.48753993610223645	0.5099041533546326	0.45431309904153355	0.43003194888178914	0.5047923322683706	0.8753993610223643	0.5361022364217253	0.8753993610223643	0.8747603833865815	0.8415335463258786	0.9265175718849841	0.9297124600638977
G2-1103	0.9686900958466453	0.9731629392971246	0.9699680511182108	0.9661341853035144	0.9801916932907349	0.9776357827476039	0.9853035143769968	0.9738019169329073	0.0	0.9789137380191694	0.9507987220447285	0.9642172523961662	0.9380191693290735	0.9488817891373802	0.9744408945686901	0.9744408945686901	0.9738019169329073	0.9712460063897763	0.9738019169329073	0.9725239616613418	0.9738019169329073	0.9731629392971246	0.9725239616613418	0.9099041533546326	0.9706070287539936	0.9693290734824281	0.9469648562300319
G2-198	0.931629392971246	0.9303514376996805	0.4172523961661342	0.4185303514376997	0.9706070287539936	0.9623003194888179	0.9706070287539936	0.9303514376996805	0.9789137380191694	0.0	0.41789137380191693	0.030031948881789138	0.10670926517571885	0.04472843450479233	0.5150159744408945	0.855591054313099	0.9482428115015974	0.7258785942492013	0.7578274760383387	0.8913738019169329	0.4370607028753994	0.8357827476038339	0.7616613418530351	0.9552715654952076	0.12460063897763578	0.07476038338658147	0.08945686900958466
G2-21	0.9514376996805112	0.9444089456869009	0.32204472843450477	0.3246006389776358	0.8389776357827476	0.9750798722044729	0.7853035143769969	0.8753993610223643	0.9507987220447285	0.41789137380191693	0.0	0.40766773162939296	0.48242811501597443	0.4447284345047923	0.20830670926517572	0.6562300319488817	0.6690095846645367	0.7482428115015974	0.8773162939297124	0.792332268370607	0.13035143769968052	0.8894568690095846	0.4536741214057508	0.6319488817891373	0.38466453674121404	0.4575079872204473	0.47220447284345046
G2-210	0.9246006389776358	0.9258785942492013	0.4146964856230032	0.41789137380191693	0.9667731629392972	0.9578274760383386	0.9667731629392972	0.9265175718849841	0.9642172523961662	0.030031948881789138	0.40766773162939296	0.0	0.11373801916932907	0.05559105431309904	0.5118210862619809	0.853035143769968	0.9450479233226837	0.7175718849840256	0.7539936102236422	0.8869009584664537	0.4338658146964856	0.8313099041533546	0.7571884984025559	0.9437699680511182	0.11565495207667732	0.06964856230031949	0.07539936102236422
G2-211	0.9252396166134186	0.9284345047923322	0.4849840255591054	0.4773162939297125	0.9693290734824281	0.9603833865814696	0.9693290734824281	0.9297124600638977	0.9380191693290735	0.10670926517571885	0.48242811501597443	0.11373801916932907	0.0	0.07731629392971245	0.5143769968051118	0.8562300319488818	0.9482428115015974	0.721405750798722	0.7571884984025559	0.8900958466453675	0.49009584664536743	0.8338658146964856	0.7610223642172524	0.9469648562300319	0.1450479233226837	0.05175718849840256	0.054313099041533544
G2-212	0.9207667731629393	0.9265175718849841	0.4440894568690096	0.44664536741214056	0.9674121405750798	0.9584664536741214	0.9674121405750798	0.9265175718849841	0.9488817891373802	0.04472843450479233	0.4447284345047923	0.05559105431309904	0.07731629392971245	0.0	0.5124600638977636	0.8543130990415335	0.9463258785942492	0.7194888178913738	0.7552715654952077	0.8881789137380192	0.4523961661341853	0.8319488817891374	0.7591054313099042	0.9514376996805112	0.12268370607028754	0.061980830670926516	0.07987220447284345
G2-22	0.9571884984025559	0.9456869009584664	0.5079872204472844	0.5143769968051118	0.8396166134185303	0.9763578274760384	0.7859424920127795	0.8753993610223643	0.9744408945686901	0.5150159744408945	0.20830670926517572	0.5118210862619809	0.5143769968051118	0.5124600638977636	0.0	0.6568690095846645	0.546964856230032	0.7514376996805112	0.8779552715654952	0.7942492012779553	0.07795527156549521	0.8907348242811501	0.24792332268370607	0.4415335463258786	0.39680511182108624	0.5111821086261981	0.5143769968051118
G2-225	0.44792332268370605	0.39680511182108624	0.9150159744408946	0.9335463258785942	0.3246006389776358	0.5884984025559106	0.49009584664536743	0.48753993610223645	0.9744408945686901	0.855591054313099	0.6562300319488817	0.853035143769968	0.8562300319488818	0.8543130990415335	0.6568690095846645	0.0	0.36166134185303517	0.2	0.48881789137380194	0.2453674121405751	0.6562300319488817	0.5527156549520766	0.6562300319488817	0.678594249201278	0.7380191693290735	0.8523961661341853	0.855591054313099
G2-226	0.5348242811501598	0.6063897763578274	0.9571884984025559	0.9757188498402556	0.4913738019169329	0.534185303514377	0.4773162939297125	0.5099041533546326	0.9738019169329073	0.9482428115015974	0.6690095846645367	0.9450479233226837	0.9482428115015974	0.9463258785942492	0.546964856230032	0.36166134185303517	0.0	0.46773162939297125	0.5194888178913738	0.5047923322683706	0.5463258785942492	0.597444089456869	0.5463258785942492	0.5463258785942492	0.8300319488817891	0.9444089456869009	0.9476038338658147
