	shannon_entropy
G1-111	3.100279158381481
G1-112	2.9955094492821006
G1-180	0.2879052744772294
G1-182	0.24595048546034
G1-183	2.869257477591426
G1-184	2.91936639269025
G1-185	2.60650103048936
G1-186	3.1988897531736833
G2-1103	2.2572399805936794
G2-198	1.5855749439317577
G2-21	1.0819012134673849
G2-210	1.6917187238908729
G2-211	1.9973440146392019
G2-212	1.8660544990845525
G2-22	1.0246656595456367
G2-225	2.9788510390263867
G2-226	2.9376812939338945
G2-227	3.3951931348662776
G2-228	3.502901077979808
G2-229	2.722421225266037
G2-23	1.0152469221791367
G2-230	2.7054218133733396
G2-24	0.8320608162946576
G2-26	0.7054677778158918
G2-27	1.9831127301902838
G2-28	1.8017437657215878
G2-29	1.9347623491045156
