	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-1103	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26	G2-27	G2-28	G2-29
G1-111	0.0	0.05864196643054784	0.18466025683600854	0.18671764613777495	0.04680544278576438	0.15248488162048726	0.08617031680984095	0.11239543618970556	0.15770043286374652	0.19221919342970475	0.18180235758622143	0.19038734519719977	0.18261159043770758	0.1834894997416546	0.18851316551565533	0.09691045992379364	0.11875930462255531	0.06829353731480362	0.08143541629556045	0.13151505675488026	0.18208148388216577	0.08697564395413844	0.20913650835118955	0.22585813711324843	0.1870355374865059	0.19104794327506777	0.18888419514797009
G1-112	0.05864196643054784	0.0	0.1984065378746102	0.20017304004003664	0.050794529154072614	0.1478912166254463	0.09398855871775866	0.08094916448644321	0.18736905143312338	0.20579907878509726	0.19519738006378357	0.204018753019621	0.19633567032360766	0.19748073336247904	0.1958227661105286	0.10000106069221795	0.15616375847817926	0.08917014248464615	0.1216193472071509	0.11156637200860887	0.19533338473901038	0.1317825173590346	0.21738439034492318	0.2344611123676717	0.20072829676141776	0.20466647048073183	0.20251560297039128
G1-180	0.18466025683600854	0.1984065378746102	0.0	0.00513469195635181	0.19122453280200585	0.2624316518971374	0.17075752849237139	0.20740038094181606	0.18438004021461124	0.009670396311577938	0.048547013324380536	0.008279166991381638	0.016500753841949163	0.008655370902729763	0.08036811191914368	0.16869212899699174	0.21035766026191086	0.1540813029453504	0.16006621112164116	0.20856609684328992	0.06852501642119825	0.13610991646617704	0.11757414661008243	0.14037431333160308	0.022476519460249627	0.009454235019750597	0.01022135395354143
G1-182	0.18671764613777495	0.20017304004003664	0.00513469195635181	0.0	0.1928889871238833	0.26424917798433817	0.17247202547429544	0.20929820301604984	0.1848010377663058	0.010747542141492535	0.050150306478437656	0.009205110451865355	0.017076939550406473	0.009759082913472264	0.08200889205873368	0.17050965508419258	0.21217518634911167	0.15589882903255123	0.1606878843433804	0.2103836229304907	0.07017893166480292	0.13644355316602005	0.11924119695770172	0.14019480924906244	0.023169013631863813	0.010661568803225179	0.009345842089170652
G1-183	0.04680544278576438	0.050794529154072614	0.19122453280200585	0.1928889871238833	0.0	0.18250956478702732	0.0734486150943605	0.1067584747831706	0.183411389388542	0.19888313387825213	0.17063551991137002	0.19711568872953303	0.18943260603351983	0.19042850603008	0.16950732198568222	0.07345074674481533	0.11790482534678422	0.06365630650709554	0.11858760289462117	0.09508171638388492	0.17066155558024113	0.11101631553038342	0.18706801602956788	0.1984964768955274	0.1803981512156235	0.19777633285097918	0.19561253868030332
G1-184	0.15248488162048726	0.1478912166254463	0.2624316518971374	0.26424917798433817	0.18250956478702732	0.0	0.1797511792098201	0.08939115994216594	0.20272070547225807	0.27003388612830187	0.2610276628644494	0.2682535603628255	0.26057047766681235	0.2617155407056837	0.2599299979899913	0.1905139464597003	0.15338921269146844	0.17486528934616313	0.13985063559004696	0.20609968788868438	0.26108423158455013	0.20059550154142788	0.26841174586673033	0.28547845713290904	0.2666888369276352	0.26890127782393647	0.2667504103135958
G1-185	0.08617031680984095	0.09398855871775866	0.17075752849237139	0.17247202547429544	0.0734486150943605	0.1797511792098201	0.0	0.11229307866166949	0.219381422470553	0.17827923773557575	0.1421919953832477	0.1765117925868566	0.17191214628937423	0.17228711460221338	0.14744860944116736	0.13165650779800306	0.12906775737694853	0.12455582479850458	0.11116041678135545	0.16640487815665583	0.1422180310521188	0.07069193533469821	0.16795466710184395	0.1778584206946553	0.15979425507294714	0.17734048329266164	0.1751723802352073
G1-186	0.11239543618970556	0.08094916448644321	0.20740038094181606	0.20929820301604984	0.1067584747831706	0.08939115994216594	0.11229307866166949	0.0	0.20855472097210226	0.21486014487952665	0.1949384693074006	0.21310558034117497	0.2054092102825444	0.20650415483888698	0.19389447915455413	0.1444517051451906	0.15191363219391804	0.12587327207796975	0.1311879986254996	0.16051847165968586	0.19504871274911303	0.1589237809420002	0.21576352527951223	0.23277283193837472	0.20048207427234999	0.21375329780867555	0.21160243029833503
G2-1103	0.15770043286374652	0.18736905143312338	0.18438004021461124	0.1848010377663058	0.183411389388542	0.20272070547225807	0.219381422470553	0.20855472097210226	0.0	0.1901723688659489	0.1814100609577314	0.18805058457042578	0.17928790628365027	0.180045817739886	0.18093164732321784	0.15179632856185704	0.15965735613523097	0.13030188722599845	0.13108029894302783	0.17945688139312677	0.18207155884522358	0.19568446274183937	0.21247052855657747	0.22761709649818188	0.18721856642463075	0.18800825139405894	0.18549311202361568
G2-198	0.19221919342970475	0.20579907878509726	0.009670396311577938	0.010747542141492535	0.19888313387825213	0.27003388612830187	0.17827923773557575	0.21486014487952665	0.1901723688659489	0.0	0.05143400486820289	0.0022416680219964403	0.01931146403229628	0.011151394347250553	0.08031932032080383	0.17519287085184157	0.2178440459199581	0.15978002989279402	0.16460672878352628	0.2155978253746737	0.06846190275030521	0.1421542557771437	0.1177692018099509	0.14148150526368505	0.019376469430909954	0.0030655375780791853	0.005792257207793577
