"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__unassigned_598fbeb75dae78a3e300a76c50d4d82b",10,FALSE,FALSE,FALSE,FALSE
"2","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__variabile_688c20321ba878c7bbe0bcd6746ee32c",11,FALSE,FALSE,FALSE,TRUE
"3","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__variabile_acdb00a8aa6e6697516e395f5364fd46",14,FALSE,TRUE,TRUE,TRUE
"4","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Tsukamurellaceae_g__Tsukamurella_s__unassigned_9ca4e6bf22ba23dcb3faa9aa17367682",10,FALSE,FALSE,FALSE,FALSE
"5","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__unassigned_s__unassigned_feb81767aa66b8823150fa41b0959b97",9,FALSE,FALSE,FALSE,FALSE
"6","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus__2dc1dae7438f41afb789fe8a3a433eac",12,FALSE,FALSE,TRUE,TRUE
"7","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_74543c864b9ce6cb7bce59303a0ce289",14,FALSE,TRUE,TRUE,TRUE
"8","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",15,FALSE,TRUE,TRUE,TRUE
"9","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_fea6f0f65bf2e94ebff13b253d142072",8,FALSE,FALSE,FALSE,FALSE
"10","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus__c968e760232bc409d8b2f69661888e32",8,FALSE,FALSE,FALSE,FALSE
"11","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",8,FALSE,FALSE,FALSE,FALSE
"12","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__zeae_fab60d5bf7d90a067aff303734e6256f",13,FALSE,FALSE,TRUE,TRUE
"13","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc_s__unassigned_f365eed4b4c884bf45ea125ca3786f2a",15,FALSE,TRUE,TRUE,TRUE
"14","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_2e37976982e02ccdefca3fd618c3212d",12,FALSE,FALSE,TRUE,TRUE
"15","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_7b0f05ead6d2e7c841505a2892f761f7",13,FALSE,FALSE,TRUE,TRUE
"16","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Swaminathania_s__unassigned_3f9d1712ffec6a08a4bdbb0dd10fe02c",10,FALSE,FALSE,FALSE,FALSE
"17","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",15,FALSE,TRUE,TRUE,TRUE
"18","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Providencia_s__unassigned_ced377d1452e26d4cf841747ff78bf2c",5,FALSE,FALSE,FALSE,FALSE
