"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium",7,FALSE,FALSE,FALSE,TRUE
"2","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Tsukamurellaceae_g__Tsukamurella",8,FALSE,FALSE,TRUE,TRUE
"3","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__unassigned",6,FALSE,FALSE,FALSE,FALSE
"4","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus",7,FALSE,FALSE,FALSE,TRUE
"5","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_",9,FALSE,TRUE,TRUE,TRUE
"6","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus",6,FALSE,FALSE,FALSE,FALSE
"7","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc",8,FALSE,FALSE,TRUE,TRUE
"8","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter",6,FALSE,FALSE,FALSE,FALSE
"9","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Swaminathania",8,FALSE,FALSE,TRUE,TRUE
"10","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_",9,FALSE,TRUE,TRUE,TRUE
"11","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Providencia",3,FALSE,FALSE,FALSE,FALSE
