"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__unassigned",7,FALSE,FALSE,FALSE,FALSE
"2","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__variabile",6,FALSE,FALSE,FALSE,FALSE
"3","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Tsukamurellaceae_g__Tsukamurella_s__unassigned",8,FALSE,FALSE,FALSE,TRUE
"4","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__unassigned_s__unassigned",7,FALSE,FALSE,FALSE,FALSE
"5","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus_",10,FALSE,FALSE,TRUE,TRUE
"6","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned",12,TRUE,TRUE,TRUE,TRUE
"7","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_",6,FALSE,FALSE,FALSE,FALSE
"8","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis",5,FALSE,FALSE,FALSE,FALSE
"9","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__zeae",9,FALSE,FALSE,FALSE,TRUE
"10","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc_s__unassigned",11,FALSE,TRUE,TRUE,TRUE
"11","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned",7,FALSE,FALSE,FALSE,FALSE
"12","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Swaminathania_s__unassigned",8,FALSE,FALSE,FALSE,TRUE
"13","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned",12,TRUE,TRUE,TRUE,TRUE
"14","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Providencia_s__unassigned",3,FALSE,FALSE,FALSE,FALSE
