	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-21	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26
G1-111	0.0	0.1476038338658147	0.9533546325878595	0.9725239616613418	0.22364217252396165	0.3936102236421725	0.3303514376996805	0.33993610223642173	0.952076677316294	0.9559105431309904	0.4594249201277955	0.5571884984025559	0.3718849840255591	0.37507987220447286	0.44984025559105434	0.9559105431309904	0.34568690095846644	0.9565495207667731	0.9552715654952076
G1-112	0.1476038338658147	0.0	0.934185303514377	0.952076677316294	0.20511182108626197	0.4293929712460064	0.3936102236421725	0.2939297124600639	0.9271565495207668	0.929073482428115	0.38722044728434507	0.5884984025559106	0.3194888178913738	0.3801916932907348	0.37891373801916933	0.929073482428115	0.4057507987220447	0.9297124600638977	0.9284345047923322
G1-180	0.9533546325878595	0.934185303514377	0.0	0.021725239616613417	0.9654952076677317	0.9591054313099041	0.9667731629392972	0.9456869009584664	0.3348242811501597	0.4773162939297125	0.9079872204472843	0.9610223642172524	0.8594249201277955	0.8670926517571885	0.9431309904153354	0.42364217252396164	0.9086261980830671	0.7488817891373802	0.9476038338658147
G1-182	0.9725239616613418	0.952076677316294	0.021725239616613417	0.0	0.984664536741214	0.9776357827476039	0.9853035143769968	0.9635782747603834	0.33610223642172526	0.48115015974440895	0.9265175718849841	0.979552715654952	0.8779552715654952	0.8856230031948882	0.9616613418530351	0.4268370607028754	0.9265175718849841	0.7520766773162939	0.9482428115015974
G1-183	0.22364217252396165	0.20511182108626197	0.9654952076677317	0.984664536741214	0.0	0.5603833865814697	0.2568690095846645	0.3731629392971246	0.8319488817891374	0.8325878594249201	0.31054313099041536	0.5041533546325878	0.3450479233226837	0.5035143769968051	0.29968051118210864	0.8325878594249201	0.43130990415335463	0.8332268370607029	0.8319488817891374
G1-184	0.3936102236421725	0.4293929712460064	0.9591054313099041	0.9776357827476039	0.5603833865814697	0.0	0.544408945686901	0.263258785942492	0.9725239616613418	0.9718849840255591	0.610223642172524	0.5424920127795527	0.5054313099041533	0.4370607028753994	0.6376996805111821	0.9725239616613418	0.5840255591054313	0.9725239616613418	0.9725239616613418
G1-185	0.3303514376996805	0.3936102236421725	0.9667731629392972	0.9853035143769968	0.2568690095846645	0.544408945686901	0.0	0.4108626198083067	0.7731629392971247	0.7744408945686901	0.4830670926517572	0.4913738019169329	0.5565495207667731	0.5226837060702876	0.5156549520766773	0.7744408945686901	0.2939297124600639	0.7750798722044728	0.7738019169329073
G1-186	0.33993610223642173	0.2939297124600639	0.9456869009584664	0.9635782747603834	0.3731629392971246	0.263258785942492	0.4108626198083067	0.0	0.8702875399361022	0.8702875399361022	0.5067092651757189	0.5354632587859425	0.4255591054313099	0.4626198083067093	0.49009584664536743	0.8702875399361022	0.5303514376996805	0.870926517571885	0.8702875399361022
G2-21	0.952076677316294	0.9271565495207668	0.3348242811501597	0.33610223642172526	0.8319488817891374	0.9725239616613418	0.7731629392971247	0.8702875399361022	0.0	0.1635782747603834	0.6530351437699681	0.6613418530351438	0.7623003194888179	0.865814696485623	0.8134185303514377	0.10990415335463259	0.8964856230031949	0.43450479233226835	0.615335463258786
G2-22	0.9559105431309904	0.929073482428115	0.4773162939297125	0.48115015974440895	0.8325878594249201	0.9718849840255591	0.7744408945686901	0.8702875399361022	0.1635782747603834	0.0	0.6543130990415336	0.531629392971246	0.7623003194888179	0.865814696485623	0.8140575079872204	0.054952076677316296	0.8971246006389776	0.2715654952076677	0.4715654952076677
G2-225	0.4594249201277955	0.38722044728434507	0.9079872204472843	0.9265175718849841	0.31054313099041536	0.610223642172524	0.4830670926517572	0.5067092651757189	0.6530351437699681	0.6543130990415336	0.0	0.3757188498402556	0.2063897763578275	0.5009584664536741	0.23386581469648562	0.6543130990415336	0.5214057507987221	0.6549520766773163	0.6773162939297125
G2-226	0.5571884984025559	0.5884984025559106	0.9610223642172524	0.979552715654952	0.5041533546325878	0.5424920127795527	0.4913738019169329	0.5354632587859425	0.6613418530351438	0.531629392971246	0.3757188498402556	0.0	0.48562300319488816	0.5418530351437699	0.5156549520766773	0.5533546325878594	0.607667731629393	0.5322683706070288	0.531629392971246
G2-227	0.3718849840255591	0.3194888178913738	0.8594249201277955	0.8779552715654952	0.3450479233226837	0.5054313099041533	0.5565495207667731	0.4255591054313099	0.7623003194888179	0.7623003194888179	0.2063897763578275	0.48562300319488816	0.0	0.3437699680511182	0.30543130990415335	0.7629392971246006	0.4952076677316294	0.7629392971246006	0.8357827476038339
G2-228	0.37507987220447286	0.3801916932907348	0.8670926517571885	0.8856230031948882	0.5035143769968051	0.4370607028753994	0.5226837060702876	0.4626198083067093	0.865814696485623	0.865814696485623	0.5009584664536741	0.5418530351437699	0.3437699680511182	0.0	0.5514376996805112	0.865814696485623	0.34760383386581467	0.8664536741214057	0.931629392971246
G2-229	0.44984025559105434	0.37891373801916933	0.9431309904153354	0.9616613418530351	0.29968051118210864	0.6376996805111821	0.5156549520766773	0.49009584664536743	0.8134185303514377	0.8140575079872204	0.23386581469648562	0.5156549520766773	0.30543130990415335	0.5514376996805112	0.0	0.8140575079872204	0.5418530351437699	0.8146964856230032	0.8140575079872204
G2-23	0.9559105431309904	0.929073482428115	0.42364217252396164	0.4268370607028754	0.8325878594249201	0.9725239616613418	0.7744408945686901	0.8702875399361022	0.10990415335463259	0.054952076677316296	0.6543130990415336	0.5533546325878594	0.7629392971246006	0.865814696485623	0.8140575079872204	0.0	0.8977635782747604	0.3258785942492013	0.5252396166134186
G2-230	0.34568690095846644	0.4057507987220447	0.9086261980830671	0.9265175718849841	0.43130990415335463	0.5840255591054313	0.2939297124600639	0.5303514376996805	0.8964856230031949	0.8971246006389776	0.5214057507987221	0.607667731629393	0.4952076677316294	0.34760383386581467	0.5418530351437699	0.8977635782747604	0.0	0.8977635782747604	0.9207667731629393
G2-24	0.9565495207667731	0.9297124600638977	0.7488817891373802	0.7520766773162939	0.8332268370607029	0.9725239616613418	0.7750798722044728	0.870926517571885	0.43450479233226835	0.2715654952076677	0.6549520766773163	0.5322683706070288	0.7629392971246006	0.8664536741214057	0.8146964856230032	0.3258785942492013	0.8977635782747604	0.0	0.2
G2-26	0.9552715654952076	0.9284345047923322	0.9476038338658147	0.9482428115015974	0.8319488817891374	0.9725239616613418	0.7738019169329073	0.8702875399361022	0.615335463258786	0.4715654952076677	0.6773162939297125	0.531629392971246	0.8357827476038339	0.931629392971246	0.8140575079872204	0.5252396166134186	0.9207667731629393	0.2	0.0
