# Constructed from biom file
#OTU ID	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-21	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26
3f9d1712ffec6a08a4bdbb0dd10fe02c	18.0	18.0	0.0	0.0	3.0	8.0	6.0	2.0	0.0	0.0	1.0	26.0	0.0	60.0	0.0	0.0	15.0	0.0	0.0
ae0805d32a277150876c7fb3e925f88a	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c968e760232bc409d8b2f69661888e32	14.0	25.0	0.0	0.0	5.0	8.0	6.0	11.0	0.0	0.0	34.0	8.0	58.0	61.0	26.0	0.0	33.0	0.0	0.0
a911e1a597739180245c9bd6aab9d992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
0bd6345dc9fa65945c4a12a780c1e06b	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ced377d1452e26d4cf841747ff78bf2c	238.0	346.0	9.0	0.0	368.0	42.0	31.0	116.0	0.0	1.0	393.0	103.0	325.0	9.0	668.0	0.0	19.0	0.0	0.0
8f02ca95a455fdb3b5129661661d50a7	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01fe050ff54517868b061044d5fa954b	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
9ca4e6bf22ba23dcb3faa9aa17367682	19.0	54.0	0.0	0.0	13.0	26.0	17.0	42.0	0.0	0.0	5.0	8.0	2.0	16.0	0.0	0.0	28.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
556015dfddeceb74af5169cbccc09140	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3db4c181200df304bbd3d9bd1bf0c001	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad4b2c31e2b8ca69d4e69c810f3dbba0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6476529b27e8ae7d3c11ad9a585a4f1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
598fbeb75dae78a3e300a76c50d4d82b	47.0	44.0	0.0	0.0	45.0	84.0	51.0	58.0	0.0	0.0	18.0	31.0	23.0	105.0	23.0	0.0	41.0	0.0	0.0
fac07b2893c7b432c5c424ca5ea83548	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fea6f0f65bf2e94ebff13b253d142072	12.0	13.0	0.0	0.0	3.0	7.0	7.0	12.0	0.0	0.0	56.0	12.0	56.0	74.0	28.0	0.0	48.0	0.0	0.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	2.0	0.0	3.0	2.0	1.0	0.0	1.0	2.0	2.0	93.0
0970c3bc831acb69e8084d1c58e675da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
688c20321ba878c7bbe0bcd6746ee32c	5.0	20.0	1.0	0.0	11.0	12.0	9.0	60.0	0.0	0.0	8.0	48.0	9.0	41.0	12.0	0.0	30.0	0.0	0.0
98c7820070b0f537c72505ab290ab174	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	7.0	4.0	8.0	16.0	2.0	0.0	3.0	1.0	11.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0
26b430fc41bd2f4012d506288c6c67d2	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c35bc9806adc8b858466c744cc35b1e5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2dc1dae7438f41afb789fe8a3a433eac	33.0	41.0	6.0	1.0	240.0	9.0	333.0	148.0	496.0	749.0	429.0	697.0	180.0	31.0	233.0	667.0	47.0	1173.0	1377.0
50c9038539bcb74d0a3f0639da032258	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a8020983579d34f360cecc3816d46d66	2.0	1.0	0.0	0.0	1.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	35.0	69.0	1521.0	1526.0	21.0	34.0	19.0	54.0	1026.0	811.0	111.0	31.0	189.0	177.0	57.0	895.0	111.0	387.0	74.0
7b0f05ead6d2e7c841505a2892f761f7	79.0	49.0	0.0	0.0	25.0	167.0	40.0	23.0	0.0	0.0	88.0	194.0	110.0	221.0	78.0	0.0	93.0	0.0	0.0
da9af43e39a35269307bf6701501d37e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6c72af8795bb7dd68daa554eb7066528	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
4910504b081b445bfcd5b14e40c223ef	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f365eed4b4c884bf45ea125ca3786f2a	494.0	371.0	0.0	0.0	461.0	149.0	673.0	240.0	0.0	0.0	126.0	134.0	128.0	323.0	205.0	0.0	815.0	0.0	0.0
f9c3e135add149d1e119c48f451b3ad3	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162bdb2c7b5934c8bfddada185f8a786	33.0	20.0	4.0	0.0	15.0	19.0	6.0	15.0	0.0	0.0	48.0	19.0	98.0	69.0	47.0	0.0	47.0	0.0	0.0
