	shannon_entropy
G1-111	3.0487891574323096
G1-112	3.134656546613413
G1-180	0.27288047424628487
G1-182	0.24116554203116683
G1-183	2.825750645983748
G1-184	2.9003065793664082
G1-185	2.5464471578075627
G1-186	3.115029226493998
G2-21	1.0979341356615182
G2-22	1.0316189980782473
G2-225	3.0276705494460483
G2-226	2.871136648337681
G2-227	3.338603107312961
G2-228	3.4774219706150546
G2-229	2.722943302213813
G2-23	1.0057936421293627
G2-230	2.750938435889065
G2-24	0.8398233483902742
G2-26	0.7132828195837341
