	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-21	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26
G1-111	0.0	0.10973086196839173	0.38863413928764085	0.6005273350394341	0.09253775337807839	0.1180176825472032	0.1505908358305728	0.11251685257743135	0.5670063429785814	0.4907662259492742	0.1505908358305728	0.1824226858379313	0.18097885094911795	0.17762665383336587	0.18083776558186385	0.48589894280520296	0.22233270484095818	0.5587332542805838	0.42456609522351263
G1-112	0.10973086196839173	0.0	0.3942297144068719	0.5775661480950678	0.08412678698807793	0.08742051534922003	0.08344380338839628	0.08159403771490181	0.539092113772537	0.45271604351380973	0.08344380338839628	0.11994464049550482	0.11782180040726037	0.15053315386271082	0.12156256283197867	0.44748478199726166	0.1662802169875984	0.5257615995457292	0.38260299845341805
G1-180	0.38863413928764085	0.3942297144068719	0.0	0.59419798022715	0.32658665212809423	0.4203543587423331	0.35009942112983405	0.4157496465946037	0.3969445153502574	0.4378046161444346	0.35009942112983405	0.3740913815475644	0.3583801661305579	0.3920203550530819	0.2955398858310299	0.432430704602742	0.2721898164278913	0.5128403885722792	0.5128090739155448
G1-182	0.6005273350394341	0.5775661480950678	0.59419798022715	0.0	0.6045870488796407	0.5970904063163212	0.5743266411025155	0.593994467530368	0.6123297211488377	0.6633956318276981	0.5743266411025155	0.5859304488072165	0.5798374597197855	0.5826911415536927	0.533864490050051	0.6600339919643359	0.5216045890820818	0.6949950921515682	0.5984187941582126
G1-183	0.09253775337807839	0.08412678698807793	0.32658665212809423	0.6045870488796407	0.0	0.1268663773921495	0.12559998203887685	0.12132863747816917	0.557365356217294	0.47770683410683384	0.12559998203887685	0.159096370310755	0.1574103356971957	0.1868660892988175	0.1586566730849576	0.47271463272802833	0.2013063597631713	0.5474168891197485	0.410147905910575
G1-184	0.1180176825472032	0.08742051534922003	0.4203543587423331	0.5970904063163212	0.1268663773921495	0.0	0.12903520334853674	0.017317454962146303	0.561005909003641	0.4741309314620659	0.12903520334853674	0.15348828362603817	0.1253986950233735	0.07528825185200401	0.16186556506758604	0.47675511175474117	0.204570054364508	0.5443182593676122	0.4139844564255923
G1-185	0.1505908358305728	0.08344380338839628	0.35009942112983405	0.5743266411025155	0.12559998203887685	0.12903520334853674	0.0	0.1231336587159917	0.5036252393042281	0.4033004054265877	0.0	0.04281068893752259	0.03973308374153544	0.07933245427809409	0.16281944117827746	0.39759638571962175	0.09780122940053124	0.48294142751954144	0.32831458867634183
G1-186	0.11251685257743135	0.08159403771490181	0.4157496465946037	0.593994467530368	0.12132863747816917	0.017317454962146303	0.1231336587159917	0.0	0.5562895957980016	0.4762442847710643	0.1231336587159917	0.15680241587174837	0.1319590098481661	0.07128944487847337	0.15647843783255777	0.4712380932323409	0.1992491238323468	0.5461495450849735	0.40853421296132175
G2-21	0.5670063429785814	0.539092113772537	0.3969445153502574	0.6123297211488377	0.557365356217294	0.561005909003641	0.5036252393042281	0.5562895957980016	0.0	0.25806178231479326	0.5036252393042281	0.5163005678964833	0.5023217084518453	0.529922855593108	0.44012608111519685	0.2508021588674656	0.4119998424589897	0.31665411354135864	0.34585005759412035
G2-22	0.4907662259492742	0.45271604351380973	0.4378046161444346	0.6633956318276981	0.47770683410683384	0.4741309314620659	0.4033004054265877	0.4762442847710643	0.25806178231479326	0.0	0.4033004054265877	0.4095426517575255	0.4027328149906539	0.4411794952482384	0.48059095498151483	0.01543046390910827	0.45237040652672644	0.13165622184334688	0.21455763305930892
G2-225	0.1505908358305728	0.08344380338839628	0.35009942112983405	0.5743266411025155	0.12559998203887685	0.12903520334853674	0.0	0.1231336587159917	0.5036252393042281	0.4033004054265877	0.0	0.04281068893752259	0.03973308374153544	0.07933245427809409	0.16281944117827746	0.39759638571962175	0.09780122940053124	0.48294142751954144	0.32831458867634183
G2-226	0.1824226858379313	0.11994464049550482	0.3740913815475644	0.5859304488072165	0.159096370310755	0.15348828362603817	0.04281068893752259	0.15680241587174837	0.5163005678964833	0.4095426517575255	0.04281068893752259	0.0	0.06839474745107442	0.10537157249628813	0.19438539858603837	0.41569577342104547	0.12280932632910599	0.48728003538677106	0.3451146109559827
G2-227	0.18097885094911795	0.11782180040726037	0.3583801661305579	0.5798374597197855	0.1574103356971957	0.1253986950233735	0.03973308374153544	0.1319590098481661	0.5023217084518453	0.4027328149906539	0.03973308374153544	0.06839474745107442	0.0	0.06448333790897208	0.17420038379614114	0.3970833609343872	0.12073300198253475	0.48161191818529897	0.3284605002294298
