	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-21	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26
G1-111	0.0	0.04326267460060618	0.18822471772865762	0.18929226591496304	0.054701498705015436	0.1470140654247345	0.08112615277458496	0.1068435539846736	0.18415260269806313	0.18714524733570312	0.09816919702956452	0.12574074181844647	0.06765784881760116	0.08479890919552648	0.1242508542120516	0.18421942489802418	0.08750164057732995	0.21011577225471778	0.22691561110819214
G1-112	0.04326267460060618	0.0	0.19726734870420845	0.1982356180623593	0.0465356702467441	0.1435920405113681	0.0932372446614899	0.08429528620418732	0.19244094080437385	0.19176658758494886	0.09082603295189973	0.1468757752811502	0.07379329674301974	0.1099297861309572	0.10335987455704278	0.1923808589203592	0.11961965838931556	0.21312595392640848	0.23072842362596635
G1-180	0.18822471772865762	0.19726734870420845	0.0	0.0053744400104079396	0.19413329404094135	0.259271054068262	0.17150296092290135	0.2123450774008602	0.04987651517948886	0.07503661191311173	0.17239586160882045	0.21128749146393153	0.1548388166678535	0.16069354138101952	0.20494907341328766	0.06680128089336596	0.13896191601955818	0.11638941815062127	0.13955409738926952
G1-182	0.18929226591496304	0.1982356180623593	0.0053744400104079396	0.0	0.19532714985314706	0.2602583063084291	0.17252225420282663	0.21333795968193306	0.05222526610115958	0.07741267739313584	0.1734320450306326	0.21230678474385675	0.1558806301369612	0.16126807734704435	0.2059908868823953	0.06916421126298594	0.13975253742816002	0.11872037850708489	0.1399431138827677
G1-183	0.054701498705015436	0.0465356702467441	0.19413329404094135	0.19532714985314706	0.0	0.1830189108356957	0.07917613371393528	0.10509445562274042	0.17215138502568564	0.17140713948656525	0.06928464631224276	0.12368124076821171	0.06885729779916629	0.124334179926801	0.08896571455389182	0.17202141082197556	0.11665902300796202	0.1863492374558952	0.19744368947674376
G1-184	0.1470140654247345	0.1435920405113681	0.259271054068262	0.2602583063084291	0.1830189108356957	0.0	0.17749166465453112	0.08629876693607968	0.2573065414640131	0.25657183956032326	0.18924312861208722	0.15426584041672775	0.17207330898801948	0.13547389932982953	0.20351127688908527	0.2571989915124907	0.1934544064244108	0.2653296169891675	0.2828261149334653
G1-185	0.08112615277458496	0.0932372446614899	0.17150296092290135	0.17252225420282663	0.07917613371393528	0.17749166465453112	0.0	0.11565929928169415	0.14128582295396686	0.1430668764460608	0.13009926481239725	0.1310305671103868	0.12272622306724601	0.1129730270457108	0.1644779290014617	0.14108929341188786	0.07008018008868233	0.16603740136507544	0.17549110677647242
G1-186	0.1068435539846736	0.08429528620418732	0.2123450774008602	0.21333795968193306	0.10509445562274042	0.08629876693607968	0.11565929928169415	0.0	0.19824106529016916	0.19748393913429163	0.14427213069399306	0.15850440915274408	0.12687460517655533	0.13966719935840113	0.1587800027268087	0.19809821046970189	0.15924310136185965	0.2151660105185133	0.23269771081301838
G2-21	0.18415260269806313	0.19244094080437385	0.04987651517948886	0.05222526610115958	0.17215138502568564	0.2573065414640131	0.14128582295396686	0.19824106529016916	0.0	0.026123679829388725	0.13355839644033768	0.16660923892970114	0.13777093449155312	0.1554578681996701	0.18327895829930732	0.01790267087580637	0.14133018471686132	0.06743138094333775	0.09032782434482008
G2-22	0.18714524733570312	0.19176658758494886	0.07503661191311173	0.07741267739313584	0.17140713948656525	0.25657183956032326	0.1430668764460608	0.19748393913429163	0.026123679829388725	0.0	0.13295942477651795	0.14812636935455886	0.13714620159421895	0.1634141790087812	0.18288289727329665	0.008252696712777046	0.15629560202764867	0.04135280623750956	0.06623503051339999
