"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus__2dc1dae7438f41afb789fe8a3a433eac",10,TRUE,TRUE,TRUE,TRUE
"2","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",10,TRUE,TRUE,TRUE,TRUE
"3","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",10,TRUE,TRUE,TRUE,TRUE
"4","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc_s__unassigned_f365eed4b4c884bf45ea125ca3786f2a",10,TRUE,TRUE,TRUE,TRUE
"5","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_2e37976982e02ccdefca3fd618c3212d",10,TRUE,TRUE,TRUE,TRUE
"6","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_7b0f05ead6d2e7c841505a2892f761f7",10,TRUE,TRUE,TRUE,TRUE
"7","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_c35bc9806adc8b858466c744cc35b1e5",10,TRUE,TRUE,TRUE,TRUE
"8","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Commensalibacter_s__intestini_b47788e49066a3575d492b8ed3edcf37",10,TRUE,TRUE,TRUE,TRUE
"9","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__Rickettsiaceae_g__Wolbachia_s__unassigned_016ccb36916408f0233910292d89a572",10,TRUE,TRUE,TRUE,TRUE
"10","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",10,TRUE,TRUE,TRUE,TRUE
"11","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Providencia_s__unassigned_ced377d1452e26d4cf841747ff78bf2c",10,TRUE,TRUE,TRUE,TRUE
