	G1-110	G1-111	G1-112	G1-114	G1-115	G1-116	G1-117	G1-118	G1-119	G1-120	G1-122	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-157	G1-158	G1-159	G1-161	G1-162	G1-163	G1-165	G1-166	G1-167	G1-168	G1-169	G1-17	G1-170	G1-171	G1-173	G1-174	G1-18	G1-183	G1-184	G1-185	G1-186	G1-19	G2-225	G2-226	G2-227	G2-228	G2-229	G2-230	G2-310	G2-311	G2-312	G2-37	G2-38	G2-39	G2-41	G2-410	G2-411	G2-412	G3-42	G3-43	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49	G3-51	G3-52	G3-53	G3-54	G3-56	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-713	G3-714	G3-715	G3-716	G3-717	G3-718	G3-77	G3-78	G3-79	G3-81	G3-82	G3-83	G3-84	G3-85	G3-86
G1-110	0.0	0.9405750798722045	0.9584664536741214	0.321405750798722	0.6421725239616614	0.5124600638977636	0.9718849840255591	0.9878594249201278	0.9744408945686901	0.8990415335463259	0.8779552715654952	0.9635782747603834	0.949520766773163	0.982108626198083	0.9488817891373802	0.9833865814696485	0.9584664536741214	0.2939297124600639	0.23961661341853036	0.09201277955271565	0.4913738019169329	0.5035143769968051	0.7750798722044728	0.9233226837060703	0.850479233226837	0.9226837060702875	0.8805111821086262	0.9444089456869009	0.9904153354632588	0.9309904153354632	0.9354632587859425	0.9431309904153354	0.9444089456869009	0.8728434504792332	0.9789137380191694	0.9763578274760384	0.9833865814696485	0.9482428115015974	0.24600638977635783	0.8779552715654952	0.9686900958466453	0.8127795527156549	0.8453674121405751	0.9124600638977636	0.9041533546325878	0.31054313099041536	0.3827476038338658	0.3539936102236422	0.5329073482428115	0.3706070287539936	0.4523961661341853	0.13546325878594248	0.5961661341853035	0.46325878594249204	0.5028753993610223	0.23706070287539935	0.09904153354632587	0.19488817891373802	0.30415335463258786	0.2613418530351438	0.5693290734824281	0.5623003194888179	0.8536741214057508	0.9150159744408946	0.8817891373801917	0.9635782747603834	0.9073482428115016	0.9258785942492013	0.9865814696485623	0.9361022364217252	0.9731629392971246	0.9661341853035144	0.984664536741214	0.9769968051118211	0.9444089456869009	0.9814696485623003	0.8926517571884984	0.8645367412140575	0.7079872204472843	0.9559105431309904	0.7878594249201278	0.929073482428115	0.6837060702875399	0.982108626198083	0.9431309904153354	0.9897763578274761	0.8619808306709266	0.6881789137380192	0.9412140575079873	0.668370607028754	0.8990415335463259	0.7182108626198083
G1-111	0.9405750798722045	0.0	0.17507987220447285	0.9118210862619809	0.8817891373801917	0.8817891373801917	0.9571884984025559	0.9693290734824281	0.939297124600639	0.7993610223642172	0.8587859424920128	0.7987220447284346	0.7955271565495208	0.9623003194888179	0.9469648562300319	0.9616613418530351	0.9463258785942492	0.9380191693290735	0.9399361022364218	0.9380191693290735	0.8843450479233227	0.8843450479233227	0.9284345047923322	0.9463258785942492	0.9476038338658147	0.8127795527156549	0.7833865814696486	0.8549520766773163	0.9731629392971246	0.7878594249201278	0.7277955271565495	0.794888178913738	0.74185303514377	0.9309904153354632	0.23386581469648562	0.43961661341853037	0.32971246006389776	0.3546325878594249	0.939297124600639	0.4594249201277955	0.5559105431309904	0.3667731629392971	0.38977635782747605	0.4741214057507987	0.32396166134185306	0.9233226837060703	0.9207667731629393	0.9201277955271565	0.934185303514377	0.9207667731629393	0.9322683706070287	0.9277955271565496	0.8900958466453675	0.8894568690095846	0.8900958466453675	0.9405750798722045	0.9380191693290735	0.936741214057508	0.91629392971246	0.9380191693290735	0.8773162939297124	0.8856230031948882	0.6792332268370607	0.7143769968051118	0.6907348242811502	0.8191693290734824	0.6843450479233227	0.7079872204472843	0.7680511182108626	0.7252396166134185	0.7706070287539936	0.7150159744408946	0.8083067092651757	0.7584664536741214	0.9354632587859425	0.9507987220447285	0.934185303514377	0.9482428115015974	0.9194888178913738	0.9616613418530351	0.9201277955271565	0.939297124600639	0.9111821086261981	0.9654952076677317	0.9469648562300319	0.9603833865814696	0.9073482428115016	0.9015974440894569	0.9309904153354632	0.8773162939297124	0.9047923322683706	0.8971246006389776
G1-112	0.9584664536741214	0.17507987220447285	0.0	0.9194888178913738	0.9284345047923322	0.9284345047923322	0.9424920127795527	0.954632587859425	0.9399361022364218	0.8006389776357827	0.886261980830671	0.8460063897763578	0.8389776357827476	0.9507987220447285	0.9354632587859425	0.949520766773163	0.9348242811501597	0.9584664536741214	0.9578274760383386	0.9584664536741214	0.9303514376996805	0.9297124600638977	0.9169329073482428	0.934185303514377	0.9354632587859425	0.8089456869009585	0.7808306709265176	0.8472843450479233	0.9616613418530351	0.7904153354632588	0.7194888178913738	0.792332268370607	0.7533546325878594	0.9463258785942492	0.20383386581469648	0.4523961661341853	0.39424920127795526	0.3015974440894569	0.9584664536741214	0.39808306709265173	0.5968051118210863	0.3680511182108626	0.4364217252396166	0.3929712460063898	0.4191693290734824	0.921405750798722	0.9246006389776358	0.9246006389776358	0.923961661341853	0.9252396166134186	0.9252396166134186	0.9469648562300319	0.9303514376996805	0.9303514376996805	0.9303514376996805	0.9584664536741214	0.9578274760383386	0.9565495207667731	0.9399361022364218	0.9578274760383386	0.9226837060702875	0.9265175718849841	0.6536741214057508	0.7297124600638978	0.7124600638977636	0.8159744408945687	0.65814696485623	0.7060702875399361	0.7623003194888179	0.7463258785942491	0.7527156549520767	0.6945686900958467	0.7904153354632588	0.7514376996805112	0.923961661341853	0.9386581469648563	0.9226837060702875	0.9488817891373802	0.9226837060702875	0.9629392971246007	0.929073482428115	0.9412140575079873	0.9252396166134186	0.9623003194888179	0.9482428115015974	0.9482428115015974	0.9022364217252397	0.9060702875399361	0.9182108626198083	0.9035143769968051	0.918849840255591	0.9041533546325878
G1-114	0.321405750798722	0.9118210862619809	0.9194888178913738	0.0	0.6696485623003194	0.5015974440894568	0.8332268370607029	0.8402555910543131	0.9252396166134186	0.850479233226837	0.8185303514376997	0.8159744408945687	0.802555910543131	0.8345047923322684	0.85814696485623	0.8798722044728434	0.8313099041533546	0.37124600638977634	0.4881789137380192	0.33738019169329075	0.5143769968051118	0.5169329073482428	0.6370607028753994	0.8108626198083068	0.7246006389776358	0.8677316293929712	0.823003194888179	0.888817891373802	0.9054313099041533	0.8715654952076677	0.8849840255591054	0.8945686900958466	0.8939297124600639	0.8242811501597445	0.8613418530351438	0.9629392971246007	0.8696485623003195	0.8472843450479233	0.4984025559105431	0.7571884984025559	0.8594249201277955	0.6958466453674121	0.8166134185303514	0.7853035143769969	0.8460063897763578	0.07859424920127796	0.24089456869009584	0.08945686900958466	0.3661341853035144	0.19361022364217254	0.32651757188498404	0.3047923322683706	0.7648562300319489	0.6095846645367412	0.6798722044728435	0.329073482428115	0.35527156549520766	0.27987220447284344	0.5035143769968051	0.39808306709265173	0.5897763578274761	0.6849840255591054	0.7833865814696486	0.8511182108626199	0.8134185303514377	0.9028753993610223	0.8485623003194889	0.8632587859424921	0.8837060702875399	0.7936102236421725	0.82555910543131	0.8364217252396167	0.9054313099041533	0.8300319488817891	0.8421725239616613	0.8785942492012779	0.8121405750798723	0.771884984025559	0.5865814696485623	0.9035143769968051	0.6849840255591054	0.8677316293929712	0.5718849840255591	0.918849840255591	0.8900958466453675	0.8753993610223643	0.7565495207667732	0.5597444089456869	0.7961661341853035	0.5623003194888179	0.8415335463258786	0.6255591054313099
G1-115	0.6421725239616614	0.8817891373801917	0.9284345047923322	0.6696485623003194	0.0	0.25175718849840256	0.9699680511182108	0.9827476038338658	0.9507987220447285	0.8785942492012779	0.8293929712460064	0.6511182108626198	0.6070287539936102	0.9731629392971246	0.9412140575079873	0.9725239616613418	0.9476038338658147	0.6402555910543131	0.7041533546325879	0.6389776357827476	0.5309904153354632	0.4996805111821086	0.8958466453674121	0.9424920127795527	0.9373801916932908	0.9099041533546326	0.8587859424920128	0.9297124600638977	0.984664536741214	0.8964856230031949	0.8984025559105431	0.9060702875399361	0.8984025559105431	0.860702875399361	0.9482428115015974	0.8690095846645367	0.9565495207667731	0.9233226837060703	0.6408945686900959	0.82555910543131	0.8421725239616613	0.7373801916932907	0.7073482428115015	0.8670926517571885	0.8421725239616613	0.6837060702875399	0.676038338658147	0.6753993610223642	0.7833865814696486	0.6696485623003194	0.7456869009584665	0.6345047923322684	0.34185303514376997	0.22875399361022364	0.2594249201277955	0.6421725239616614	0.6396166134185304	0.6402555910543131	0.7405750798722045	0.6543130990415336	0.17124600638977636	0.1744408945686901	0.5616613418530352	0.8166134185303514	0.7648562300319489	0.9297124600638977	0.8274760383386581	0.85814696485623	0.9597444089456869	0.8945686900958466	0.9507987220447285	0.954632587859425	0.9674121405750798	0.9533546325878595	0.931629392971246	0.9616613418530351	0.8741214057507988	0.8575079872204473	0.6766773162939297	0.9533546325878595	0.7507987220447284	0.9073482428115016	0.6594249201277955	0.9769968051118211	0.9297124600638977	0.9718849840255591	0.8364217252396167	0.6613418530351438	0.9284345047923322	0.6217252396166134	0.8722044728434505	0.6952076677316293
G1-116	0.5124600638977636	0.8817891373801917	0.9284345047923322	0.5015974440894568	0.25175718849840256	0.0	0.9578274760383386	0.9750798722044729	0.94185303514377	0.870926517571885	0.8204472843450479	0.6376996805111821	0.5936102236421725	0.9674121405750798	0.9354632587859425	0.9667731629392972	0.94185303514377	0.39808306709265173	0.6792332268370607	0.526517571884984	0.29648562300319486	0.26517571884984026	0.8900958466453675	0.9373801916932908	0.9322683706070287	0.9009584664536742	0.8498402555910544	0.9207667731629393	0.979552715654952	0.8875399361022365	0.8824281150159744	0.8952076677316294	0.8817891373801917	0.8543130990415335	0.9412140575079873	0.868370607028754	0.9514376996805112	0.9233226837060703	0.6031948881789138	0.82555910543131	0.8421725239616613	0.7373801916932907	0.7073482428115015	0.8670926517571885	0.8421725239616613	0.49904153354632586	0.670926517571885	0.468370607028754	0.7782747603833866	0.44984025559105434	0.7405750798722045	0.4926517571884984	0.35207667731629394	0.19361022364217254	0.2600638977635783	0.4594249201277955	0.5450479233226837	0.4504792332268371	0.7054313099041534	0.6223642172523962	0.21214057507987222	0.28626198083067095	0.5463258785942492	0.807667731629393	0.7559105431309904	0.9207667731629393	0.8185303514376997	0.8492012779552716	0.9539936102236422	0.8875399361022365	0.9431309904153354	0.9488817891373802	0.9616613418530351	0.9469648562300319	0.9258785942492013	0.9559105431309904	0.868370607028754	0.850479233226837	0.6696485623003194	0.9463258785942492	0.7437699680511182	0.9003194888178914	0.6345047923322684	0.9712460063897763	0.923961661341853	0.9661341853035144	0.8300319488817891	0.6549520766773163	0.9220447284345048	0.6095846645367412	0.865814696485623	0.6888178913738019
G1-117	0.9718849840255591	0.9571884984025559	0.9424920127795527	0.8332268370607029	0.9699680511182108	0.9578274760383386	0.0	0.15782747603833866	0.45303514376996806	0.4472843450479233	0.460702875399361	0.7284345047923323	0.7105431309904153	0.36549520766773164	0.40766773162939296	0.4012779552715655	0.3731629392971246	0.9686900958466453	0.9706070287539936	0.9718849840255591	0.9699680511182108	0.9706070287539936	0.8805111821086262	0.8811501597444089	0.8811501597444089	0.46134185303514375	0.45878594249201277	0.460702875399361	0.4306709265175719	0.4575079872204473	0.5392971246006389	0.4281150159744409	0.4964856230031949	0.4504792332268371	0.8779552715654952	0.9674121405750798	0.8824281150159744	0.8824281150159744	0.9718849840255591	0.8785942492012779	0.8728434504792332	0.8798722044728434	0.9444089456869009	0.8811501597444089	0.9412140575079873	0.8856230031948882	0.8811501597444089	0.8805111821086262	0.8805111821086262	0.9405750798722045	0.8817891373801917	0.9629392971246007	0.9661341853035144	0.9661341853035144	0.9674121405750798	0.9718849840255591	0.9718849840255591	0.9654952076677317	0.9450479233226837	0.9712460063897763	0.9450479233226837	0.9597444089456869	0.865814696485623	0.45686900958466453	0.544408945686901	0.4504792332268371	0.5859424920127796	0.465814696485623	0.405111821086262	0.5463258785942492	0.4741214057507987	0.40766773162939296	0.42747603833865816	0.5629392971246007	0.39808306709265173	0.3993610223642173	0.4172523961661342	0.46325878594249204	0.4645367412140575	0.4670926517571885	0.4645367412140575	0.4638977635782748	0.4645367412140575	0.44664536741214056	0.4472843450479233	0.39680511182108624	0.44345047923322684	0.526517571884984	0.3584664536741214	0.5661341853035143	0.44089456869009586	0.47539936102236424
G1-118	0.9878594249201278	0.9693290734824281	0.954632587859425	0.8402555910543131	0.9827476038338658	0.9750798722044729	0.15782747603833866	0.0	0.3731629392971246	0.4325878594249201	0.38210862619808306	0.6779552715654952	0.6939297124600639	0.2613418530351438	0.32204472843450477	0.3111821086261981	0.28753993610223644	0.984664536741214	0.9865814696485623	0.9878594249201278	0.9827476038338658	0.9833865814696485	0.8408945686900958	0.8396166134185303	0.8389776357827476	0.3814696485623003	0.41405750798722046	0.3814696485623003	0.3329073482428115	0.3795527156549521	0.5648562300319488	0.4517571884984026	0.5226837060702876	0.36549520766773164	0.8300319488817891	0.9750798722044729	0.8281150159744409	0.8939297124600639	0.9878594249201278	0.8338658146964856	0.8261980830670926	0.8677316293929712	0.9565495207667731	0.8364217252396167	0.9533546325878595	0.9028753993610223	0.8415335463258786	0.8798722044728434	0.8408945686900958	0.9559105431309904	0.8415335463258786	0.979552715654952	0.9833865814696485	0.9833865814696485	0.9840255591054313	0.9878594249201278	0.9878594249201278	0.9814696485623003	0.9610223642172524	0.987220447284345	0.9623003194888179	0.9769968051118211	0.8977635782747604	0.48115015974440895	0.5578274760383387	0.3731629392971246	0.6051118210862619	0.48881789137380194	0.34760383386581467	0.4952076677316294	0.4230031948881789	0.41405750798722046	0.36166134185303517	0.5105431309904154	0.3124600638977636	0.30990415335463256	0.331629392971246	0.3840255591054313	0.38466453674121404	0.38722044728434507	0.38466453674121404	0.3853035143769968	0.40894568690095845	0.3623003194888179	0.36166134185303517	0.3003194888178914	0.45111821086261983	0.531629392971246	0.34568690095846644	0.5738019169329074	0.35527156549520766	0.4817891373801917
G1-119	0.9744408945686901	0.939297124600639	0.9399361022364218	0.9252396166134186	0.9507987220447285	0.94185303514377	0.45303514376996806	0.3731629392971246	0.0	0.37252396166134183	0.2549520766773163	0.7987220447284346	0.7757188498402556	0.16996805111821087	0.15399361022364216	0.16677316293929711	0.17763578274760383	0.9712460063897763	0.9731629392971246	0.9738019169329073	0.9507987220447285	0.9501597444089457	0.9667731629392972	0.9738019169329073	0.9731629392971246	0.24281150159744408	0.37252396166134183	0.21277955271565496	0.0939297124600639	0.28753993610223644	0.594888178913738	0.4747603833865815	0.5373801916932908	0.129073482428115	0.9405750798722045	0.9456869009584664	0.9469648562300319	0.939297124600639	0.9744408945686901	0.9399361022364218	0.9424920127795527	0.9399361022364218	0.9399361022364218	0.939297124600639	0.9399361022364218	0.9725239616613418	0.9738019169329073	0.9725239616613418	0.9731629392971246	0.9731629392971246	0.9738019169329073	0.9667731629392972	0.9501597444089457	0.9501597444089457	0.949520766773163	0.9744408945686901	0.9744408945686901	0.9661341853035144	0.9437699680511182	0.9731629392971246	0.931629392971246	0.9463258785942492	0.8856230031948882	0.4575079872204473	0.5297124600638977	0.21916932907348244	0.5814696485623003	0.46517571884984027	0.38338658146964855	0.6051118210862619	0.5373801916932908	0.47539936102236424	0.3801916932907348	0.6255591054313099	0.10798722044728434	0.06645367412140575	0.15527156549520768	0.15527156549520768	0.3514376996805112	0.07667731629392971	0.26198083067092653	0.06325878594249201	0.3769968051118211	0.07348242811501597	0.07539936102236422	0.07795527156549521	0.47987220447284346	0.6019169329073483	0.4293929712460064	0.6159744408945687	0.2792332268370607	0.5258785942492012
G1-120	0.8990415335463259	0.7993610223642172	0.8006389776357827	0.850479233226837	0.8785942492012779	0.870926517571885	0.4472843450479233	0.4325878594249201	0.37252396166134183	0.0	0.30990415335463256	0.771884984025559	0.7252396166134185	0.3706070287539936	0.3329073482428115	0.3635782747603834	0.33865814696485624	0.8958466453674121	0.8984025559105431	0.8990415335463259	0.8773162939297124	0.8779552715654952	0.9035143769968051	0.9469648562300319	0.9405750798722045	0.31629392971246006	0.22939297124600638	0.3527156549520767	0.394888178913738	0.2824281150159744	0.3424920127795527	0.27731629392971247	0.2990415335463259	0.321405750798722	0.8057507987220447	0.8964856230031949	0.9028753993610223	0.8274760383386581	0.8990415335463259	0.7450479233226837	0.868370607028754	0.7309904153354633	0.8351437699680511	0.7699680511182109	0.85814696485623	0.8977635782747604	0.8990415335463259	0.8984025559105431	0.8984025559105431	0.8984025559105431	0.8990415335463259	0.8920127795527156	0.8792332268370607	0.8785942492012779	0.8779552715654952	0.8990415335463259	0.8990415335463259	0.8907348242811501	0.85814696485623	0.8984025559105431	0.8600638977635783	0.8753993610223643	0.6805111821086262	0.2888178913738019	0.3156549520766773	0.334185303514377	0.3865814696485623	0.28498402555910546	0.34313099041533546	0.5584664536741214	0.4670926517571885	0.402555910543131	0.34824281150159747	0.5539936102236421	0.3782747603833866	0.4146964856230032	0.30415335463258786	0.3610223642172524	0.34952076677316296	0.42364217252396164	0.34952076677316296	0.3814696485623003	0.34952076677316296	0.44089456869009586	0.35654952076677315	0.42108626198083066	0.33610223642172526	0.45814696485623	0.3354632587859425	0.47220447284345046	0.2913738019169329	0.38210862619808306
