# Constructed from biom file
#OTU ID	G1-110	G1-111	G1-112	G1-114	G1-115	G1-116	G1-117	G1-118	G1-119	G1-120	G1-122	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-157	G1-158	G1-159	G1-161	G1-162	G1-163	G1-165	G1-166	G1-167	G1-168	G1-169	G1-17	G1-170	G1-171	G1-173	G1-174	G1-18	G1-183	G1-184	G1-185	G1-186	G1-19	G2-225	G2-226	G2-227	G2-228	G2-229	G2-230	G2-310	G2-311	G2-312	G2-37	G2-38	G2-39	G2-41	G2-410	G2-411	G2-412	G3-42	G3-43	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49	G3-51	G3-52	G3-53	G3-54	G3-56	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-713	G3-714	G3-715	G3-716	G3-717	G3-718	G3-77	G3-78	G3-79	G3-81	G3-82	G3-83	G3-84	G3-85	G3-86
016ccb36916408f0233910292d89a572	0.0	1.0	0.0	69.0	1.0	12.0	799.0	943.0	1406.0	832.0	1077.0	216.0	239.0	1245.0	1260.0	1249.0	1218.0	4.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	1105.0	889.0	1149.0	1386.0	1018.0	491.0	678.0	572.0	1290.0	11.0	2.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	35.0	1.0	26.0	5.0	78.0	756.0	643.0	1128.0	562.0	743.0	880.0	504.0	619.0	734.0	895.0	483.0	1324.0	1388.0	1241.0	1272.0	945.0	1483.0	1085.0	1399.0	905.0	1495.0	1374.0	1386.0	726.0	535.0	821.0	514.0	1040.0	655.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	116.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	332.0	0.0	0.0	13.0	424.0	291.0	344.0	389.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
b96ea9e9b09900ccecf691bbceea9b83	614.0	43.0	42.0	691.0	450.0	786.0	30.0	12.0	35.0	151.0	161.0	23.0	41.0	27.0	72.0	22.0	58.0	1066.0	352.0	587.0	1196.0	1177.0	134.0	76.0	86.0	94.0	158.0	65.0	7.0	78.0	72.0	68.0	66.0	153.0	23.0	24.0	15.0	65.0	470.0	129.0	31.0	194.0	161.0	90.0	109.0	731.0	450.0	766.0	306.0	890.0	362.0	635.0	263.0	510.0	408.0	724.0	559.0	724.0	286.0	491.0	469.0	361.0	156.0	113.0	154.0	43.0	121.0	100.0	12.0	42.0	29.0	32.0	13.0	28.0	70.0	24.0	159.0	198.0	436.0	66.0	321.0	106.0	478.0	25.0	75.0	13.0	180.0	411.0	71.0	459.0	115.0	358.0
2dc1dae7438f41afb789fe8a3a433eac	0.0	20.0	40.0	155.0	3.0	1.0	139.0	228.0	1.0	0.0	0.0	382.0	181.0	166.0	67.0	87.0	124.0	0.0	1.0	0.0	0.0	1.0	1094.0	1417.0	1204.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	2.0	226.0	5.0	305.0	131.0	0.0	440.0	671.0	177.0	22.0	242.0	41.0	132.0	378.0	167.0	698.0	48.0	534.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	22.0	0.0	0.0	0.0	0.0	0.0	85.0	425.0	279.0	128.0	49.0	484.0	85.0	89.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	8.0	104.0	77.0	143.0	148.0	100.0	13.0	105.0
c35bc9806adc8b858466c744cc35b1e5	465.0	0.0	0.0	397.0	3.0	13.0	12.0	5.0	1.0	1.0	0.0	19.0	18.0	0.0	0.0	0.0	0.0	235.0	838.0	602.0	3.0	3.0	197.0	36.0	143.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	18.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	426.0	544.0	346.0	399.0	311.0	473.0	387.0	49.0	44.0	38.0	308.0	483.0	372.0	618.0	418.0	77.0	66.0	24.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
162bdb2c7b5934c8bfddada185f8a786	319.0	47.0	21.0	48.0	104.0	133.0	1.0	2.0	4.0	6.0	30.0	14.0	20.0	1.0	8.0	3.0	7.0	158.0	255.0	259.0	176.0	157.0	18.0	7.0	5.0	27.0	29.0	21.0	7.0	29.0	9.0	12.0	3.0	42.0	7.0	13.0	8.0	16.0	692.0	60.0	17.0	98.0	79.0	44.0	38.0	38.0	50.0	50.0	24.0	60.0	30.0	185.0	427.0	284.0	369.0	106.0	219.0	107.0	171.0	80.0	125.0	257.0	46.0	19.0	31.0	14.0	23.0	16.0	8.0	55.0	11.0	19.0	10.0	8.0	17.0	2.0	8.0	12.0	21.0	1.0	11.0	1.0	17.0	3.0	14.0	3.0	33.0	75.0	21.0	60.0	41.0	67.0
fac07b2893c7b432c5c424ca5ea83548	0.0	2.0	0.0	10.0	1.0	3.0	0.0	0.0	0.0	0.0	145.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	86.0	76.0	129.0	0.0	122.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	144.0	79.0	72.0	107.0	168.0	96.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b0f05ead6d2e7c841505a2892f761f7	0.0	80.0	44.0	6.0	985.0	598.0	8.0	6.0	31.0	29.0	74.0	497.0	544.0	9.0	8.0	13.0	13.0	0.0	0.0	0.0	165.0	212.0	0.0	0.0	0.0	18.0	32.0	21.0	4.0	52.0	73.0	58.0	82.0	17.0	42.0	164.0	37.0	34.0	0.0	79.0	195.0	115.0	213.0	65.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	655.0	644.0	641.0	0.0	0.0	0.0	2.0	0.0	725.0	816.0	461.0	152.0	181.0	51.0	123.0	104.0	34.0	58.0	28.0	12.0	20.0	30.0	16.0	30.0	25.0	10.0	48.0	3.0	57.0	33.0	65.0	4.0	17.0	24.0	36.0	38.0	16.0	78.0	38.0	48.0
f365eed4b4c884bf45ea125ca3786f2a	0.0	494.0	365.0	0.0	0.0	0.0	0.0	0.0	14.0	17.0	23.0	63.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	88.0	37.0	55.0	0.0	34.0	28.0	32.0	28.0	0.0	452.0	128.0	670.0	209.0	0.0	113.0	128.0	134.0	279.0	177.0	811.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	12.0	71.0	17.0	56.0	22.0	34.0	219.0	140.0	210.0	322.0	179.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
