	G1-110	G1-111	G1-112	G1-114	G1-115	G1-116	G1-117	G1-118	G1-119	G1-120	G1-122	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-157	G1-158	G1-159	G1-161	G1-162	G1-163	G1-165	G1-166	G1-167	G1-168	G1-169	G1-17	G1-170	G1-171	G1-173	G1-174	G1-18	G1-183	G1-184	G1-185	G1-186	G1-19	G2-225	G2-226	G2-227	G2-228	G2-229	G2-230	G2-310	G2-311	G2-312	G2-37	G2-38	G2-39	G2-41	G2-410	G2-411	G2-412	G3-42	G3-43	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49	G3-51	G3-52	G3-53	G3-54	G3-56	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-713	G3-714	G3-715	G3-716	G3-717	G3-718	G3-77	G3-78	G3-79	G3-81	G3-82	G3-83	G3-84	G3-85	G3-86
G1-110	0.0	0.6109284957729512	0.5275277660544037	0.22385206197567384	0.4523915890511867	0.37753921881762803	0.49847853895557304	0.540828278014477	0.44930634787970875	0.370855418811136	0.4416024660107947	0.5020769063934959	0.5370594114588803	0.25126903253372573	0.2762985274743739	0.19417642887058648	0.2746299598922418	0.1802257440095406	0.15533716346927046	0.21158533314679628	0.4429712315133226	0.16951390284813567	0.4037546015370525	0.06578043086662935	0.24664123494294785	0.48561966139657914	0.49710923502433374	0.4896021198484487	0.41352977210159836	0.5501138399492231	0.5473243558812113	0.5527623839577924	0.5502891557099271	0.2004111011183584	0.5722716799521117	0.5599339314004977	0.5452787072274566	0.5760608196628697	0.4995036111163825	0.4870952343933867	0.5091353527008521	0.506701982016503	0.48652724523155866	0.5470149352041365	0.5965703212457387	0.2287022100577095	0.07166012938551113	0.23315032884361	0.16142857700191762	0.2448344010580193	0.1564456726188569	0.128015260503963	0.07335499409887712	0.13405029892527798	0.12031650073495241	0.051272895545487474	0.22854431644197545	0.18168291231483838	0.3750213131423104	0.3232439545265581	0.22391360433978574	0.4300551037743433	0.6159611640602333	0.5095921409214293	0.5204407775743491	0.5193582478013333	0.5175676218121128	0.5304117448989383	0.5537252422005152	0.5452787496082515	0.5051628094592884	0.4856517930525333	0.4968939630328259	0.56221951366543	0.3543361054441099	0.27462995293467896	0.19603006358577915	0.15586966063963684	0.21290190144959587	0.1256018783063688	0.5068266634658302	0.12560187075672627	0.21290190144959587	0.3543361054441099	0.2746299598922418	0.3543361054441099	0.29767186816575353	0.3675266890991777	0.36752669211967476	0.3635407058804125	0.5574332409780155	0.3609328489827949
G1-111	0.6109284957729512	0.0	0.22408335813534722	0.5020656435349063	0.47594358471096254	0.47323124794894483	0.3249043612149273	0.35364866811348283	0.46954940654309063	0.4259066916853747	0.3205207960068493	0.2608943612599627	0.3244533660465642	0.5344637868895489	0.5806279972900793	0.5436273286395344	0.5817196297587266	0.5484631160401062	0.5393765557333595	0.6477123868221804	0.5841039757542041	0.5364686540351418	0.44411392220358076	0.58826212730926	0.5783776653759408	0.26174790489622174	0.2690769446914572	0.270312784188856	0.36653881732229976	0.2542593868376105	0.21750259730750743	0.2622176512219315	0.2217179131355564	0.5453059745278205	0.23731782306455093	0.1610311638602478	0.21196161230040883	0.15065548703564097	0.7038959761976382	0.25426395502206584	0.2483872245514014	0.2546709014470671	0.24421801814011704	0.25856270255471786	0.36190009589710465	0.5045167257820004	0.5893417121033634	0.5584174428560033	0.5392981642905631	0.5779095435100721	0.6264163592541004	0.5592129302512092	0.5849199364352077	0.560968898965676	0.5750900688486893	0.5899015610941846	0.5899078984063676	0.5245467667800222	0.42843650994334437	0.5342612558139446	0.5037409464839845	0.5776450190726978	0.33012079903946184	0.25268261337716363	0.26377676471705386	0.27024306062727954	0.2621000154545516	0.27568650715317766	0.31523565073950166	0.3258894182013372	0.27979654783799596	0.2786575579173722	0.29041205333231473	0.3447751134000822	0.5232705866292152	0.5817196311366235	0.5425356961708871	0.5651134539101927	0.596898972624529	0.558201219542502	0.6287462449403136	0.5582012210210052	0.596898972624529	0.5232705866292152	0.5817196297587266	0.5232705866292152	0.47535767805007667	0.5133250011754695	0.5133250003764984	0.5204481452429537	0.6507743346520387	0.5193933210471551
G1-112	0.5275277660544037	0.22408335813534722	0.0	0.5204093770200517	0.5007255396654132	0.4854148662673852	0.2805041095896249	0.3127068757892589	0.44994378361435833	0.3981725536342997	0.3171938167908573	0.25070119610922703	0.28234827599619267	0.556341128685068	0.5749699900733295	0.5326398085799614	0.5762188594102142	0.571986428067719	0.5275653501434494	0.5806942542807418	0.6512353215897566	0.5242782921540633	0.42004554546967526	0.5003602412961334	0.5723098040035542	0.2514051497014741	0.2433436150747543	0.24473771414653678	0.3443852296153613	0.2280583081357185	0.17615109992220376	0.1956890968704386	0.1811679603574564	0.5346054382797523	0.19846726602577205	0.11938358604621346	0.16065709393685784	0.12610260465971804	0.6789255996615438	0.09279771853577759	0.11726001218631657	0.12458316705234179	0.07984945781839745	0.10885648901564832	0.25002726709571177	0.3990724246872255	0.5019491028888975	0.5498472608114647	0.5275057102063665	0.57176547880766	0.5465525342399066	0.465154918151403	0.49630838039187447	0.5523946625295711	0.4847896105026634	0.5392916020565948	0.4858767669459319	0.5105605732164549	0.4376795223609694	0.5226881987445675	0.5222608973337054	0.5840505392092206	0.3664150142842062	0.2395678743653193	0.23789069632555168	0.25935950067285746	0.23606637467028904	0.2517384034543425	0.29688325295035495	0.26817568735449515	0.21536379266598943	0.22975169693255107	0.22750709891667595	0.29169218642891354	0.5093509163696907	0.5762188610073117	0.5313909392430768	0.5572207584780875	0.5935242029852307	0.5491509039928557	0.6880297210831937	0.5491509057229307	0.5935242029852307	0.5093509163696907	0.5762188594102142	0.5093509163696907	0.4526930689209622	0.4961626121865714	0.496162611239555	0.5043180414501761	0.6630108819653504	0.5030693326294694
G1-114	0.22385206197567384	0.5020656435349063	0.5204093770200517	0.0	0.3274808242462588	0.20438592818949122	0.42284734065197394	0.4621855807442651	0.34404960826148984	0.2570554879274414	0.3366479965480276	0.3874231938066274	0.46012128059975843	0.08554858085553702	0.18013113151115556	0.10354849906098867	0.17837309451874106	0.11304741409667403	0.08111508524431149	0.3576494091312363	0.3686548241178293	0.07410542120051404	0.2982995911879026	0.17325686849444272	0.15351639902185465	0.3919732326935454	0.3945396941080928	0.3866270259151371	0.3349048147956404	0.45761024530225924	0.42386547247430073	0.4666981504834942	0.4255603301936625	0.11000259387946582	0.4527139552118603	0.47244877350255543	0.45610808524324714	0.4565165809367741	0.562637061448235	0.4829055491896357	0.5032921373749328	0.5010157138402624	0.4823970512073272	0.5386332799074443	0.5856310518069163	0.2964495377312445	0.17757481256744706	0.1481786574347765	0.07444027243254495	0.1516373445018559	0.24861870664269684	0.21564439802281926	0.17065184552960194	0.12616433120276785	0.24403991406292252	0.18190601433092424	0.32516716553464314	0.14745019945720866	0.20759535376422567	0.3145130648283017	0.008890570653069469	0.3503898464085321	0.5084651198226648	0.37218168008285796	0.38485536916156343	0.3834706186306163	0.38236375203072553	0.397610843665975	0.4467882800510451	0.4692894946141064	0.40946807725178574	0.4109509746925243	0.42326755371502733	0.4882315473812156	0.2629901426584728	0.17837309394163484	0.10546663841358589	0.1457536319643823	0.19586496416066349	0.11866789209135252	0.47339418114753473	0.11866789169524226	0.19586496416066349	0.2629901426584728	0.17837309451874106	0.2629901426584728	0.2051017558742838	0.2709230514372229	0.2709230542833118	0.2662093676122717	0.4680262358743312	0.27005212034493664
G1-115	0.4523915890511867	0.47594358471096254	0.5007255396654132	0.3274808242462588	0.0	0.28264564247045587	0.39443612790017857	0.4283813119506903	0.38964811836152363	0.44262946621398197	0.3406284698055315	0.35700224116270063	0.42053158828667647	0.34892020528707435	0.4159020324665157	0.3617359577750734	0.4150102829389944	0.368499084808227	0.35168402393097986	0.40537936722102336	0.4034531763770185	0.3406170047149234	0.3635565531561094	0.421235655061189	0.4073420627262044	0.38584980736597224	0.39009845838659696	0.3832763876885885	0.29666206729574646	0.4456212549423083	0.4141514496404386	0.4485979113587163	0.41204225003442657	0.36501452342903035	0.44166304348924157	0.458813006095124	0.44426440445129606	0.4450002093742961	0.6459097604023982	0.46684133056736593	0.4852005328843508	0.48309265458093537	0.46643485416030206	0.4281512541989455	0.5611706804789275	0.4685497385051211	0.4233664301331577	0.3521433367549305	0.3521201555422406	0.40641673289603486	0.4746285949551124	0.43733205427568533	0.40904185899796636	0.37619262066545195	0.4766532491778745	0.4227967046599527	0.4995413311836755	0.4150594087375525	0.4121826896512101	0.35069061967951715	0.32228873359878196	0.49333823606473765	0.4038668321927824	0.37088067386141116	0.38183037361327715	0.3806301406153263	0.3796870492603047	0.3929211590383919	0.41149946100819534	0.4291652877045383	0.39734865594509383	0.3774675552631699	0.3888927801785083	0.44711938264517037	0.44241799338527976	0.4150102819829923	0.362708917882727	0.39423710288622926	0.4350880070849613	0.38070676983127766	0.5880326089715588	0.3807067689360743	0.4350880070849613	0.44241799338527976	0.4150102829389944	0.44241799338527976	0.39893077842165275	0.4479299388381117	0.4479299409568176	0.44573616843669955	0.5801164214310335	0.44639079846531976
G1-116	0.37753921881762803	0.47323124794894483	0.4854148662673852	0.20438592818949122	0.28264564247045587	0.0	0.3912505425573111	0.4273220530565214	0.2360681697415211	0.29257879822845884	0.42095584647047074	0.3534764447316706	0.42101165265973045	0.26213130696872095	0.33817629062869936	0.27665539850914683	0.3370311880821562	0.28432005019756124	0.2630659777162271	0.32950654863117257	0.3395091467105902	0.25048621191829384	0.19647574066479775	0.3425439881883915	0.32676135422661723	0.36124840603066316	0.36620301607352934	0.35871818688768525	0.36391236967129514	0.42805012717829094	0.3918667865534345	0.42956073191703203	0.3896584551527345	0.2808634048366871	0.42255957493504215	0.4406597272144378	0.4246755898054842	0.4261290852859786	0.616055534036026	0.44781719146846305	0.4682597105669841	0.46587144269091946	0.4474237253989506	0.407167108210558	0.5515034241857609	0.2807767299181696	0.34529219956498247	0.2674578229927564	0.2638749346810644	0.3255670399272284	0.40306977726857873	0.36391051733918983	0.3282640316366347	0.29143322330607097	0.38088212961273	0.34389902175555004	0.4404989916228401	0.3095354457720742	0.18669379847790848	0.124041141494976	0.1979491146193989	0.441756281135448	0.3847962387650309	0.34571780107972677	0.35781325852873386	0.356471631238182	0.355569239137298	0.37019193231122915	0.4114146759144616	0.43017548807398176	0.3745799992643159	0.37522124410736124	0.38739954393641474	0.4491768460258038	0.24439023832428264	0.33703118720229347	0.2779047841971391	0.31362841514364576	0.3580071752632219	0.2962057538824866	0.5484999458484484	0.29620575309094455	0.3580071752632219	0.24439023832428264	0.3370311880821562	0.24439023832428264	0.18318334739113748	0.24281444390784424	0.24281444648627115	0.23829518706004016	0.5340615524710578	0.23873490778560974
G1-117	0.49847853895557304	0.3249043612149273	0.2805041095896249	0.42284734065197394	0.39443612790017857	0.3912505425573111	0.0	0.06905645863255336	0.43700480073017195	0.3815936875721556	0.26131830392844513	0.14726228716250012	0.16903807016134406	0.4129046883677629	0.4303402616704535	0.3818875367952358	0.4317697646928927	0.43075316786811557	0.4062465640854246	0.5579721127905187	0.5476325748692544	0.4007662526501624	0.43677910138661113	0.467554074428809	0.45480661929820004	0.20580266828704322	0.20859640143931185	0.20033980342535976	0.24559873437270227	0.22667012854813468	0.18545182315825323	0.16927553743419546	0.18826342455998016	0.3848613997300987	0.260000395731795	0.2373690720334808	0.21432160320306848	0.26178452340296793	0.6657697080295405	0.22774637657594346	0.25779217162653933	0.2537109984952021	0.2278590366456085	0.30788515052263965	0.37517982096646335	0.4128128778896167	0.46935316159926427	0.4357324183641167	0.4042146951954015	0.4540257181901978	0.5166024549779201	0.4829400548600608	0.46325055374517493	0.43297950464408885	0.5225432841865598	0.5117131472132888	0.5368873418924501	0.4620029586024978	0.39566304208411013	0.4114440244021826	0.4250336742802917	0.5301074509186522	0.3299630362398319	0.1505255657862846	0.16521467046886237	0.12866696888251025	0.163445633824677	0.14536025291792484	0.2186992166771388	0.18050351582814633	0.1499452943530185	0.12117070269264313	0.13673266817365579	0.2089690221835686	0.35523019451760685	0.4317697637616131	0.38045803377279663	0.41229344862611733	0.4825633676214094	0.43275234462661305	0.6138687751254172	0.4327523436945465	0.4825633676214094	0.35523019451760685	0.4317697646928927	0.35523019451760685	0.29860490237953136	0.3481178582148348	0.34811786035575704	0.34515650536981207	0.5863157467868491	0.3480400500226941
G1-118	0.540828278014477	0.35364866811348283	0.3127068757892589	0.4621855807442651	0.4283813119506903	0.4273220530565214	0.06905645863255336	0.0	0.46535841618209894	0.41179585437884797	0.2897884535684479	0.18090255339523909	0.11314352615364265	0.42925576810563937	0.38989862987579854	0.42229275840470804	0.3914296170492019	0.4708679638879147	0.4470580481385439	0.5960971699494791	0.5804962314438634	0.44136617976434095	0.47177451116606134	0.5070958058303521	0.4137909614579735	0.2329607785155251	0.235457660445574	0.2343137854402012	0.28172906842809753	0.2583888774815069	0.21071639072071838	0.20101215623686666	0.2134508472713719	0.42511835307536283	0.2906315749240534	0.26243752501563605	0.24617814362582402	0.28641463596878747	0.6956859401816166	0.26168766973350843	0.2886060570423725	0.28686986056412495	0.2617209867222379	0.33933004944473266	0.40423271303347874	0.45214551588889457	0.5109522236568155	0.4747595285691445	0.44493311380584666	0.4153248292566542	0.4823372609496704	0.5234534781423423	0.5048895258358272	0.4739144970730667	0.5569420757067219	0.5531419924398197	0.5749342060320092	0.5017758496772834	0.4317652744946109	0.44870523129735923	0.4643501303496437	0.5635107846734729	0.3584678610898859	0.2017051275428114	0.2087320849581056	0.1727639671003328	0.21391098312130047	0.1910751615153955	0.2276641855100986	0.12627817432875818	0.18347076427608297	0.15544297239188332	0.17058194295243415	0.15856118660773455	0.30945630310330646	0.3914296161449945	0.4208394139738206	0.4531464100370415	0.44588534393602497	0.4739460265690181	0.5938047102500631	0.473946025531228	0.44588534393602497	0.30945630310330646	0.3914296170492019	0.30945630310330646	0.33732751377349607	0.30220576889216405	0.3022057711838715	0.29866745636203595	0.6152744464016681	0.30175571148359853
G1-119	0.44930634787970875	0.46954940654309063	0.44994378361435833	0.34404960826148984	0.38964811836152363	0.2360681697415211	0.43700480073017195	0.46535841618209894	0.0	0.1252980323629355	0.45087774085618443	0.4180971910231042	0.43914075237139033	0.34850059760621444	0.3685593586448799	0.32016447666491676	0.3675547052964619	0.3759361402027343	0.3471457215340679	0.4018408012827393	0.4097651800559241	0.3359190215868259	0.08530154868446066	0.417717612900261	0.39593600151545966	0.44201186916167845	0.4453746248010873	0.44462992112762223	0.2963169290029022	0.39841804840528855	0.35458726667050156	0.36311168040881003	0.35252115424517383	0.32378552646468967	0.4224775974450875	0.4009861953102359	0.39014415764293076	0.42065772641242816	0.6457212254640263	0.4107231365738458	0.4320797192256424	0.42948895600758635	0.4104227182810813	0.3726791452427152	0.5190427318605059	0.35411659408489676	0.41989200940619126	0.2858408364014444	0.34760245596774436	0.3949746829961663	0.4645014128635141	0.376446448511198	0.4053311453240903	0.3720302301842867	0.38448915712247694	0.46535733376335187	0.4974346116027627	0.32597200455017766	0.31006263186201344	0.2857393029033476	0.3389020637940263	0.4473641893056296	0.43270241285247074	0.43180669723482173	0.43625287047839084	0.4086500174122505	0.4395353359609609	0.42028810246606535	0.4620259686953997	0.447477679377929	0.4010115426147787	0.4021343928977989	0.41304152196424765	0.4648165105019705	0.3386586669073936	0.3675547044140965	0.32123921776793474	0.35393594752914165	0.42418132471403014	0.3765937352418325	0.5822623866417214	0.3765937343435439	0.42418132471403014	0.3386586669073936	0.3675547052964619	0.3386586669073936	0.30139120922190515	0.34636201748596235	0.3463620197684148	0.3431893728990584	0.5480817901067107	0.3437384014810806
G1-120	0.370855418811136	0.4259066916853747	0.3981725536342997	0.2570554879274414	0.44262946621398197	0.29257879822845884	0.3815936875721556	0.41179585437884797	0.1252980323629355	0.0	0.39120369353448375	0.3602601735656057	0.38154726979362186	0.2613440209190447	0.2813923148173436	0.22652434242171673	0.2800875681185927	0.2899811594677039	0.2572936318927243	0.46241611014608575	0.4611463130019879	0.24449075396723163	0.13967838108356437	0.33820478422951383	0.3129282056145496	0.38374678221487496	0.38834542979066056	0.38743957947514734	0.21241516080022624	0.33904423754189583	0.2884333164938685	0.29917387563772835	0.2863287862970319	0.23121904589207112	0.3702500000174846	0.34455903281005024	0.33153092305691145	0.36808136979941897	0.6148222649604456	0.35061804269381047	0.37667618679024756	0.3733787326250673	0.35043395503607644	0.42065210092589106	0.48006965953573427	0.2693278171278068	0.3410197249225072	0.3069307489568838	0.25813766094347806	0.31168098683710377	0.3909873378394607	0.29122844757464206	0.32364802493210926	0.28311463172967716	0.296858431976713	0.3917187159279505	0.4358066095168102	0.22995106394613407	0.22317595461131498	0.34210433070618707	0.2509053311778216	0.38935799332473314	0.4759470452672261	0.37411823044127746	0.3795087901315524	0.34788812179486495	0.38348297706517775	0.362012171159071	0.4122232625085966	0.39169062148955186	0.3409466757217121	0.34087302230198885	0.35413166609087005	0.4126853749946339	0.2505203534612313	0.2800875673512825	0.22791848039052784	0.2620648951237729	0.34184705995858977	0.2879446463467091	0.5405663873654981	0.28794464556220645	0.34184705995858977	0.2505203534612313	0.2800875681185927	0.2505203534612313	0.21045901309215348	0.2609500351367473	0.26095003772343817	0.2565798365945293	0.5100726774786273	0.25705268178900725
