	G1-110	G1-111	G1-112	G1-114	G1-115	G1-116	G1-117	G1-118	G1-119	G1-120	G1-122	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-157	G1-158	G1-159	G1-161	G1-162	G1-163	G1-165	G1-166	G1-167	G1-168	G1-169	G1-17	G1-170	G1-171	G1-173	G1-174	G1-18	G1-183	G1-184	G1-185	G1-186	G1-19	G2-225	G2-226	G2-227	G2-228	G2-229	G2-230	G2-310	G2-311	G2-312	G2-37	G2-38	G2-39	G2-41	G2-410	G2-411	G2-412	G3-42	G3-43	G3-44	G3-45	G3-46	G3-47	G3-48	G3-49	G3-51	G3-52	G3-53	G3-54	G3-56	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-713	G3-714	G3-715	G3-716	G3-717	G3-718	G3-77	G3-78	G3-79	G3-81	G3-82	G3-83	G3-84	G3-85	G3-86
G1-110	0.0	0.18174381621851368	0.22583092881875147	0.050216845580242836	0.09401641905897447	0.014223502098284232	0.3032896016894804	0.2950204443628818	0.2945777946564191	0.25028986652313884	0.2611622687440175	0.15007185563735226	0.16481536898374574	0.27343902287352817	0.26706250183127234	0.267628794762329	0.264445483179482	0.06771459482803655	0.07273364919531511	0.01973191683463134	0.1047675967433502	0.09453558377570831	0.15247717526506105	0.20760356555608495	0.16475215127744938	0.2720638470310677	0.26235394699007597	0.28762480507133814	0.29061964409545	0.2779199839777692	0.24078661426059383	0.24204580388431218	0.23436627240999838	0.2647788758855092	0.21032820064797858	0.21246775561906867	0.21280554278101524	0.24233050266602993	0.057271938665422954	0.1766217151555036	0.16355038030570482	0.14364790521421514	0.15230321063279884	0.20781757884812102	0.18230888055990263	0.03739588731094077	0.046490993420489374	0.05889168862806747	0.09128742362029375	0.07354981016346476	0.06396707935444407	0.02403523799895534	0.06253687545721533	0.03666651798287395	0.03932321344476043	0.025309423263167034	0.03438678809246632	0.02421205353463652	0.10138833801719545	0.08126280897754348	0.08182891098376957	0.0773152527297927	0.1625999540074745	0.23409931216936947	0.22377494225919925	0.2848939294176315	0.24593557634878976	0.2583695820936256	0.22375953293327394	0.21295677287112294	0.20210115246337565	0.20594841681145026	0.2251059724881007	0.20228188260572327	0.28035816749790193	0.29194243967878447	0.26051525777069223	0.2606826738657623	0.19705772983694905	0.301538598536537	0.22524117612025513	0.28524104592376737	0.18918385767998958	0.30669953044247256	0.28219052299046254	0.2933850249504708	0.16973821015714952	0.13647539609245413	0.19527394475244284	0.1280329053193233	0.2235517148351921	0.15529875982359964
G1-111	0.18174381621851368	0.0	0.058919305300280285	0.17024406036231785	0.24153076952831312	0.18033841604114112	0.28527021319579576	0.2812305655924738	0.3195724203912304	0.20042566136413398	0.26610230562456605	0.26439736898631894	0.2922932691759644	0.30709150103963173	0.30081670657065274	0.30767930156824586	0.29810986729307826	0.17226409692271602	0.23113820128409157	0.18782425467006997	0.16747332725524272	0.16880155240811626	0.20643336323133227	0.2420497117073994	0.2163594514693227	0.2649932625014199	0.22687988862769787	0.27660646922977306	0.3236922260512698	0.2530323302641097	0.18801871413034904	0.20947732867927318	0.1978330669026208	0.3003135105542921	0.06125480875120814	0.16998619487831032	0.07958204471084619	0.1169758962008723	0.17875771350078873	0.10610659996223827	0.13237762284025012	0.07290139646263759	0.10362298192641789	0.13676664614993145	0.08846759778569803	0.17372812934670154	0.19041341286814678	0.17110072283120167	0.19666050272715496	0.17094762996722968	0.19741395557222235	0.18915255595002123	0.22146946511878857	0.20020413330317074	0.20270345213658292	0.1902252670023339	0.1987061645865946	0.188695304368328	0.2427469972660513	0.23449155909204586	0.2318490172975132	0.2319722637430166	0.19974684876140136	0.19730693995351659	0.18875610864663941	0.2712873833283691	0.19598156426507835	0.21197157117418328	0.25046035146880363	0.18430510287816604	0.22229375302135188	0.2188990672298351	0.2625601818740996	0.19779300062160915	0.31299663411472545	0.325316165558839	0.2943409005006957	0.2969469424188848	0.24161851708376317	0.33711745457241704	0.26276246046395096	0.3203402093934621	0.23446817652943128	0.34027788485266175	0.31686739497703525	0.32662142858787846	0.2877997977213579	0.22739234882951323	0.3033816728023287	0.22664897030005546	0.2951852476807159	0.2384283317114203
G1-112	0.22583092881875147	0.058919305300280285	0.0	0.2127924343139488	0.26723267156689257	0.22535193838094833	0.2701841987777563	0.26764672894591274	0.3198355416392709	0.2199689146803045	0.2692776960355304	0.28751587411762225	0.3152672863063459	0.3173341792665965	0.3185481022170167	0.32938622677016655	0.3158583004226374	0.21662846123571697	0.25606416756979195	0.2269727339251852	0.21185613362108643	0.21364582963198858	0.23895353752063447	0.2498192361113939	0.24886674537189962	0.2652363741150813	0.22478204554774764	0.276740967128692	0.32859673447413396	0.2510429556648008	0.19893419103697024	0.22854570996603596	0.2175981442082553	0.3009394600967431	0.054701119838753434	0.16917964675844102	0.09747746546173985	0.09029705357276084	0.2229894645305825	0.10140005848441352	0.1631796906625827	0.10028159888839737	0.13752972463597238	0.10868136249701414	0.13115086044675264	0.21574147432657462	0.22366345426114598	0.2134498629584952	0.2296899280685646	0.21329677009452316	0.2303637147028568	0.22590024348732227	0.24690716390997708	0.23306655066690468	0.23424840409844186	0.22685674077353635	0.22751615956003363	0.22592105706247853	0.2679237622935187	0.25945616746443945	0.2576154906391007	0.25760057835555955	0.19475382250322462	0.21860870715132452	0.20488901803516216	0.2715701158034024	0.18575035961448416	0.20656680668747976	0.2720955786118041	0.20442522281437073	0.24331478862156208	0.24036192909294052	0.2840075360642051	0.21699054010334348	0.31142660074152095	0.3237546509495963	0.2998758605391139	0.2971760131821189	0.24238511867542464	0.337350760226463	0.2639214164994587	0.3205950413902105	0.23552543624600814	0.3400154749765849	0.32169830723860054	0.3250599139786357	0.3096804164425487	0.24999362706268152	0.32506736492450466	0.2499516201736567	0.31912710285988644	0.2612005853501486
G1-114	0.050216845580242836	0.17024406036231785	0.2127924343139488	0.0	0.13377433621356472	0.05025848217333448	0.269091140039095	0.26077130929015074	0.2734863054828836	0.22766966621927173	0.2381550578526338	0.16371240574941084	0.17862397894039678	0.23942381658072745	0.24083538134589325	0.23964990386322518	0.23322581701498743	0.05182959446997645	0.11799706081446797	0.064475836809616	0.08806492782736139	0.07849686087210096	0.11850730074723989	0.1746735667467556	0.13149580856382614	0.24922415534970854	0.23956517859852802	0.2646462197078652	0.26503983833215283	0.25492030612609073	0.2077927337502771	0.2069686224463855	0.19951007589086625	0.24424500925112527	0.1845826304087599	0.20236395738268848	0.1768064983959027	0.22120406067885162	0.04688046352088733	0.14893070391897223	0.13891541194250123	0.1174281493664796	0.14179443882658935	0.18413027426245845	0.15998166314987947	0.019854058466048145	0.053354719314665885	0.027333898718567756	0.06338842030277424	0.05175456719910412	0.06454351862349661	0.06654263845828097	0.1088163350794209	0.08215768837217233	0.08564515609348473	0.06664049093270769	0.07802397020815277	0.06324281205245631	0.13610407732682883	0.12172701060847585	0.11681322975830975	0.12086622884559634	0.1538847545780654	0.2075559482335892	0.19919393963985485	0.26093011456816984	0.22024195201591634	0.232019428221504	0.19554561020298833	0.17884415588658592	0.1677896221179774	0.17406410337045622	0.20011421776510555	0.1680240684367364	0.25253093961851825	0.26378837179581627	0.23568955363546232	0.24002754190952028	0.1762120279283516	0.281188852644933	0.2045182861027141	0.2646221337435611	0.16840167924219854	0.2840977343825074	0.26113112522557136	0.26391712919970095	0.17031615834387198	0.10409938235279606	0.1798486499444255	0.10076256960163546	0.2019772130086966	0.12616075450660622
G1-115	0.09401641905897447	0.24153076952831312	0.26723267156689257	0.13377433621356472	0.0	0.08648087604477543	0.31454451192489696	0.3051243349180684	0.30443676683170817	0.25929672251792174	0.26928390582091144	0.1046924310460262	0.08164930283122777	0.284393038122467	0.2781139105867139	0.27859471584374457	0.27541140426089744	0.15620819861588844	0.0239714892409241	0.07522587739011256	0.18808656978736124	0.17742691942511118	0.1994129831141613	0.2547304938732977	0.2122958475919106	0.28078243074045484	0.27129813544796005	0.2962651616846964	0.30129111679521353	0.28602170596826065	0.2500411959242903	0.25053220779338803	0.24273881053693716	0.2757639953394442	0.2562099764138708	0.22242640714586862	0.2750805045750193	0.28323756255812144	0.14911617940008826	0.22041935393475193	0.2049837337315511	0.2073522270097662	0.2094114248300793	0.23333182173680464	0.24964976134135522	0.12607839586217445	0.10297289550084984	0.14698758884811652	0.14027241334594592	0.16152237995493782	0.1135135605095894	0.07086040732822123	0.03713790635090395	0.058525094832444925	0.05785035404734252	0.06922027757651107	0.060370581530186596	0.07218706811988401	0.029955520786799115	0.013543927294447311	0.019067147163288018	0.019897127805079354	0.165739403726394	0.2407239998993423	0.2306433336302432	0.29278531711700834	0.2550377517914258	0.2663881230614205	0.23321828985206	0.23430995849319422	0.2120737769393238	0.2158765448888874	0.23489002110356802	0.22828620761296844	0.2911582408646888	0.30261770262250487	0.27127600835648996	0.2719626531251537	0.21124627407850358	0.31293826056640195	0.23570441181245408	0.2959564918759788	0.2077257185429644	0.31777380883310996	0.29308805391732157	0.3041173525683268	0.1800808311093731	0.15364270291436513	0.20599912799940037	0.1434627168006819	0.23394883146201845	0.1655181614548074
G1-116	0.014223502098284232	0.18033841604114112	0.22535193838094833	0.05025848217333448	0.08648087604477543	0.0	0.3022212158594409	0.29399486454795565	0.29262932352518556	0.24725843528414124	0.2573124422842987	0.14366350375501347	0.15777778503153625	0.2728723295574835	0.26659320202173015	0.26707400727876074	0.2638906956959137	0.07199016400399659	0.08271588967599705	0.028845833792720633	0.10405852863493387	0.09370384885157677	0.15530685081284173	0.21072814352641556	0.1682934972450284	0.2689857847825287	0.25900798279216625	0.2844798302403546	0.29006901655169737	0.27422776356691453	0.23672001664754183	0.2383983594443152	0.2300828201690082	0.2641556982537743	0.20713947430612162	0.20969801622985507	0.21125589695454627	0.24188316747910904	0.06689450874679485	0.17641256151276122	0.1610455985531787	0.14321103980522143	0.1497255749233318	0.20617954481753717	0.18251284296109424	0.04315250683370443	0.05203086453047758	0.06421056572505608	0.0962700629990637	0.07875396753329035	0.06950695079670065	0.03171359894351439	0.06147992831367405	0.034793131337998516	0.038246818737198575	0.031451501639436164	0.042746721473135754	0.02839217415019561	0.1048502238410868	0.08706643171075619	0.07283734926007823	0.07405031634477628	0.1515288466976718	0.22862529866568213	0.21780510001357295	0.28114676744428596	0.2409573915550921	0.2537162505851887	0.22214467123621848	0.2109860078462366	0.20059820862745564	0.20480292627304586	0.223810772440431	0.20080277787566336	0.27948866594701127	0.29109699405752115	0.25975529979150624	0.2602667675187975	0.1959921170216994	0.3012423749600456	0.22400852620609793	0.28426060626962263	0.18782758670787578	0.3060587133769031	0.28156734535233785	0.29240225711211976	0.16838557936341522	0.13519757195545845	0.19430818173194467	0.125943010239928	0.22239791726007277	0.15378600011454463
G1-117	0.3032896016894804	0.28527021319579576	0.2701841987777563	0.269091140039095	0.31454451192489696	0.3022212158594409	0.0	0.04485238913267692	0.147651715457314	0.12581416165614473	0.1359356606653868	0.2500253828141126	0.2502798411797254	0.12763448096053484	0.14273416908467149	0.1466040145634482	0.1335210403081122	0.2954423651309612	0.30975532752290097	0.30447310323940385	0.29430615383866265	0.29486184366077184	0.26642853790508236	0.2598128903801588	0.2655913500637898	0.13309333780758087	0.10168913591168738	0.13555804403351523	0.14831388937159443	0.12563786641846766	0.14164692318950722	0.10738133190196723	0.13347723986599738	0.1401153956006873	0.25596085139247476	0.2568832120256212	0.26274549538371833	0.2487539994175042	0.30259889838999815	0.2590231325561279	0.24926774775255547	0.26699749176477705	0.2867438702792595	0.26211749492190617	0.29868494088079933	0.28534677235633077	0.2802390717386887	0.2807132396592997	0.2743736654396348	0.2912829247958863	0.2784048590371625	0.30281551906920073	0.31383455293775825	0.30972551515125707	0.3110168048514328	0.302672137019125	0.30462784791907754	0.30061260137879053	0.30064028160688483	0.30771054885019017	0.3069653369662779	0.31334722968452566	0.2499755422026001	0.12306330439381374	0.14006524259548722	0.13342178685833259	0.1525869756470685	0.11369634066822584	0.13370174166341992	0.1473058480147332	0.15711022273076708	0.14478056786698704	0.13983368714372701	0.1573905495221546	0.13300934299367081	0.1383390160952615	0.13469438431594669	0.1422725141555519	0.13599617461508456	0.15805770884637588	0.13638746530934218	0.1472701722649537	0.1364855727219797	0.15501060886860873	0.14939568916988957	0.13729868462955305	0.16568921583451499	0.18816584067571915	0.14396454540871279	0.1970471594916941	0.1548392536863481	0.16805399123322887
G1-118	0.2950204443628818	0.2812305655924738	0.26764672894591274	0.26077130929015074	0.3051243349180684	0.29399486454795565	0.04485238913267692	0.0	0.11441338369170542	0.11013625053289867	0.10264472113035196	0.2342230836795168	0.24002293360755345	0.09329105545095426	0.10869979539441359	0.11206947564778258	0.09948666663063391	0.2871732078043627	0.30059008557763434	0.2962039459128055	0.2860317811943753	0.28659608197348874	0.2523835516318431	0.24546419387825286	0.2513247580082101	0.09831681702231304	0.0766326381822377	0.10202335842365354	0.11257714038068475	0.0925753291698301	0.13818145273380003	0.09891436752443648	0.12689334778656391	0.10623783573430426	0.24877192541559429	0.27903131765601163	0.24940680394934334	0.2708743811794752	0.29432974106339965	0.2487843966264779	0.23522288854171622	0.2612055822172187	0.28195447833316073	0.25361276734608823	0.2905107209414615	0.27709470000070113	0.2661330036692789	0.2723425901153695	0.2602675973702251	0.28286599153411995	0.26415101506453376	0.29456345927485167	0.30537408942860306	0.301499163839772	0.30277757292319035	0.29440297969252643	0.29635869059247893	0.29234344405219215	0.29121670896074087	0.2983031218728508	0.2978832652081364	0.30436203193921335	0.24588342411154976	0.11414552489355567	0.1339167121184653	0.10023599468307436	0.1486584548617732	0.11129238212670713	0.10831124684589392	0.1325047055968671	0.14158006826155486	0.13480558612618523	0.11330985548502917	0.14260368074778523	0.09897496932258226	0.10381272057907118	0.10084874115844965	0.10583529517577682	0.09968624959545876	0.12447527257251909	0.10007754028971637	0.1137671205885877	0.10736752285801315	0.12093019418600774	0.11536583444954428	0.10169338784725396	0.1557270135989594	0.17846294522460218	0.1325991948786586	0.18728047529488165	0.1209936105288509	0.15793116302054594
G1-119	0.2945777946564191	0.3195724203912304	0.3198355416392709	0.2734863054828836	0.30443676683170817	0.29262932352518556	0.147651715457314	0.11441338369170542	0.0	0.12687127392779354	0.07306561598912012	0.2588165358367294	0.2549944075054245	0.046895160285252056	0.041923215365949965	0.05043144905622503	0.05015254542134463	0.2864932335464173	0.3002823311576332	0.29519892279584453	0.2846445465186357	0.28539873162612217	0.2727606476870262	0.2701408048760393	0.27384607859612137	0.07356129220666562	0.11507700903303786	0.06520355545604592	0.021579090631588485	0.08337451456388892	0.200059203587719	0.15535821112181736	0.1807353332311685	0.03242468017899066	0.3032327925913638	0.33461085684508407	0.31725847927668355	0.3381525829109132	0.2936185004773044	0.286161570014096	0.2939368639311953	0.29387734474035787	0.33371652840368093	0.28724674855514887	0.3191078366876785	0.2884509868621571	0.28843342988922144	0.2863921300052137	0.2824331282270285	0.28694892537075073	0.2865863364942607	0.2939641954142992	0.30470052227919614	0.300690701403903	0.3019597864336416	0.2939921961608588	0.295709000936358	0.2913888699093736	0.29102316905924175	0.2974011266740949	0.29714912088029566	0.3040272931766563	0.2797004226587337	0.14014079513136993	0.16206155169991038	0.06138567996739572	0.1780540392745159	0.14057209640260282	0.12485491866865936	0.19650952905692157	0.1782118781308457	0.15378122537809646	0.12567305818668556	0.19633196667757769	0.024472067758998812	0.016500091695805182	0.04246312852874546	0.04441007641492316	0.1001621843051159	0.01986281732402971	0.0720155889373146	0.014238147125801012	0.10690114482161732	0.023379518607075007	0.01737765961920409	0.017830151369257426	0.160281485678081	0.191260505023053	0.14047394983756725	0.1963077549910541	0.09169841790109166	0.16701710111785883
G1-120	0.25028986652313884	0.20042566136413398	0.2199689146803045	0.22766966621927173	0.25929672251792174	0.24725843528414124	0.12581416165614473	0.11013625053289867	0.12687127392779354	0.0	0.07845705803416514	0.2292653010792117	0.2236509322095199	0.10967390216982795	0.10274284558732336	0.11354581898951435	0.10002267559224934	0.24210167645482492	0.2559986379239352	0.250665196047583	0.23932623435944458	0.2406343109669719	0.23443399121383648	0.26628073032489386	0.24448903876577113	0.0845893537511341	0.05445712204554809	0.09723276907624039	0.1276832104411745	0.07647611581188721	0.09847142912064659	0.06797662320112886	0.08181081273289355	0.10561886554757323	0.20280277835733812	0.23874758523336886	0.2464708675192861	0.25129269798826537	0.2493293726507332	0.20012651873820278	0.20725847279338597	0.19258913220652304	0.2603724030181378	0.211779403202675	0.25030981924822693	0.24383951371430773	0.2437702500616921	0.2418989687518865	0.23788628838085546	0.24222974364820699	0.24201364332741715	0.24917918076068568	0.26050274082115116	0.2564886850462759	0.25775777007601447	0.24970426802757872	0.25080125255465163	0.2469648467963406	0.24047585392918427	0.2530028950589405	0.25138948293667096	0.2594127436130908	0.18764933429416145	0.05273542708906722	0.06807910744141654	0.0914748845525784	0.08982161462002737	0.0633428148525456	0.08867210532611552	0.13449701364699967	0.12764385423744487	0.10686833324400186	0.09546518190641268	0.1366166721031324	0.12011191340033268	0.1331204426560187	0.09901332206235693	0.10828157053997188	0.10104685765623671	0.14552604026542595	0.09936178780170446	0.1286474608837295	0.09780698238190252	0.14924326370548652	0.12079707688482282	0.13419079852476545	0.115772897949808	0.13985154264788643	0.11177456684409338	0.14495050948205754	0.10133322594127303	0.11598059266217661
