"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__unassigned_598fbeb75dae78a3e300a76c50d4d82b",5,FALSE,FALSE,FALSE,FALSE
"2","Xk__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__variabile_688c20321ba878c7bbe0bcd6746ee32c",10,TRUE,TRUE,TRUE,TRUE
"3","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus__2dc1dae7438f41afb789fe8a3a433eac",6,FALSE,FALSE,FALSE,FALSE
"4","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",11,TRUE,TRUE,TRUE,TRUE
"5","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",7,FALSE,FALSE,FALSE,TRUE
"6","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__plantarum_3f80990610fc7a19bd8ad33503a20a44",8,FALSE,FALSE,TRUE,TRUE
"7","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc_s__unassigned_f365eed4b4c884bf45ea125ca3786f2a",11,TRUE,TRUE,TRUE,TRUE
"8","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_2e37976982e02ccdefca3fd618c3212d",7,FALSE,FALSE,FALSE,TRUE
"9","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_7b0f05ead6d2e7c841505a2892f761f7",6,FALSE,FALSE,FALSE,FALSE
"10","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_d75046f383b3d6f6d7f987ceaadb0253",8,FALSE,FALSE,TRUE,TRUE
"11","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Commensalibacter_s__intestini_b47788e49066a3575d492b8ed3edcf37",7,FALSE,FALSE,FALSE,TRUE
"12","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",6,FALSE,FALSE,FALSE,FALSE
