	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-17	G1-18	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-78	G3-79
G1-123	0.0	0.12971246006389775	0.6293929712460063	0.6536741214057508	0.6351437699680511	0.6006389776357828	0.6325878594249201	0.8536741214057508	0.6287539936102237	0.5035143769968051	0.529073482428115	0.65814696485623	0.7099041533546326	0.5482428115015975	0.5501597444089457	0.4549520766773163	0.670926517571885	0.789776357827476	0.51629392971246
G1-124	0.12971246006389775	0.0	0.6920127795527157	0.6472843450479233	0.6862619808306709	0.6638977635782748	0.6958466453674121	0.8038338658146965	0.5827476038338658	0.5654952076677316	0.6038338658146964	0.6204472843450479	0.6651757188498403	0.6210862619808307	0.6134185303514377	0.5182108626198083	0.6210862619808307	0.7399361022364217	0.579552715654952
G1-153	0.6293929712460063	0.6920127795527157	0.0	0.3354632587859425	0.27859424920127795	0.1865814696485623	0.21214057507987222	0.7175718849840256	0.5105431309904154	0.3961661341853035	0.3782747603833866	0.4306709265175719	0.4645367412140575	0.3380191693290735	0.43003194888178914	0.24345047923322682	0.5214057507987221	0.5073482428115016	0.1757188498402556
G1-154	0.6536741214057508	0.6472843450479233	0.3354632587859425	0.0	0.24728434504792332	0.15143769968051118	0.2319488817891374	0.46325878594249204	0.470926517571885	0.5801916932907348	0.4460063897763578	0.4268370607028754	0.3891373801916933	0.6108626198083067	0.3258785942492013	0.45686900958466453	0.2562300319488818	0.17955271565495207	0.4428115015974441
G1-155	0.6351437699680511	0.6862619808306709	0.27859424920127795	0.24728434504792332	0.0	0.2242811501597444	0.09520766773162939	0.6945686900958467	0.49904153354632586	0.5744408945686901	0.3936102236421725	0.4268370607028754	0.39105431309904154	0.5552715654952076	0.5130990415335464	0.4728434504792332	0.4996805111821086	0.4255591054313099	0.43003194888178914
G1-156	0.6006389776357828	0.6638977635782748	0.1865814696485623	0.15143769968051118	0.2242811501597444	0.0	0.1450479233226837	0.5661341853035143	0.4747603833865815	0.44984025559105434	0.36741214057507987	0.4306709265175719	0.4255591054313099	0.46325878594249204	0.29073482428115016	0.31884984025559104	0.3718849840255591	0.3233226837060703	0.3047923322683706
G1-17	0.6325878594249201	0.6958466453674121	0.21214057507987222	0.2319488817891374	0.09520766773162939	0.1450479233226837	0.0	0.6798722044728435	0.5041533546325878	0.5015974440894568	0.3782747603833866	0.4268370607028754	0.39233226837060703	0.4907348242811502	0.42875399361022365	0.4012779552715655	0.48434504792332267	0.41022364217252394	0.36293929712460066
G1-18	0.8536741214057508	0.8038338658146965	0.7175718849840256	0.46325878594249204	0.6945686900958467	0.5661341853035143	0.6798722044728435	0.0	0.7130990415335463	0.7578274760383387	0.74185303514377	0.7476038338658147	0.7412140575079872	0.797444089456869	0.40447284345047924	0.6504792332268371	0.2504792332268371	0.3226837060702875	0.6638977635782748
G3-61	0.6287539936102237	0.5827476038338658	0.5105431309904154	0.470926517571885	0.49904153354632586	0.4747603833865815	0.5041533546325878	0.7130990415335463	0.0	0.4575079872204473	0.1801916932907348	0.10990415335463259	0.1584664536741214	0.4095846645367412	0.65814696485623	0.6249201277955272	0.5214057507987221	0.5603833865814697	0.5782747603833865
G3-62	0.5035143769968051	0.5654952076677316	0.3961661341853035	0.5801916932907348	0.5744408945686901	0.44984025559105434	0.5015974440894568	0.7578274760383387	0.4575079872204473	0.0	0.32843450479233227	0.47987220447284346	0.5041533546325878	0.1450479233226837	0.39808306709265173	0.35207667731629394	0.6268370607028754	0.729073482428115	0.34952076677316296
