	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-17	G1-18	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-78	G3-79
G1-123	0.0	0.031201427845396	0.11458564354048252	0.09429832787441977	0.04515122570007395	0.09759951708708649	0.07003904214743294	0.20545774179749807	0.1347426195872207	0.17450507329848255	0.1301251001650425	0.14341644315507304	0.1182857952439885	0.1786212578756402	0.16231196518370308	0.11148868744796227	0.14553354489968906	0.1094991863367876	0.12296346074203941
G1-124	0.031201427845396	0.0	0.14071338005715253	0.10710793057830181	0.06777441370657461	0.11995626854576834	0.09239579360611479	0.21231132509471592	0.1389671133629001	0.19359008350006338	0.15090665190200017	0.14970252806662193	0.1228654256106973	0.19931184135966773	0.184668716642385	0.13384543890664413	0.15238712819690667	0.11635276963400551	0.14683739524633097
G1-153	0.11458564354048252	0.14071338005715253	0.0	0.0742172562149163	0.09883479265243296	0.04102908900136166	0.06833139724219467	0.14710068185342626	0.09969883736137926	0.1104735255714188	0.07568109010649857	0.08415772636087349	0.11337314413639622	0.10790425555109481	0.10113576786860214	0.02878168119784601	0.08288917179047076	0.10631379461938609	0.030443683923270216
G1-154	0.09429832787441977	0.10710793057830181	0.0742172562149163	0.0	0.06926994897844031	0.033331649935115344	0.044010320313756006	0.13627514260397414	0.08075022685537604	0.15534478619949982	0.08888926849924773	0.08583737800539416	0.059965499389923294	0.1593201205946234	0.11212578009720893	0.0890590360667969	0.07171531398097453	0.03295143401566907	0.09879361280036769
G1-155	0.04515122570007395	0.06777441370657461	0.09883479265243296	0.06926994897844031	0.0	0.07686318869089893	0.03514812238831584	0.2045915316002608	0.13496341786362695	0.1947571949305951	0.13392920375101539	0.13869587771230865	0.10464438206620576	0.19724344512155456	0.17330219142741243	0.12087820869508598	0.14065708221105877	0.08699437453464519	0.1261266727551259
G1-156	0.09759951708708649	0.11995626854576834	0.04102908900136166	0.033331649935115344	0.07686318869089893	0.0	0.042236426616764224	0.14127915176155686	0.08311475364483895	0.12495471382252141	0.07500130254066743	0.08357122552048858	0.0818023842321276	0.12873668718349104	0.09677188175924716	0.05635360078961011	0.07706748374820431	0.06555473147290385	0.06608817752318091
G1-17	0.07003904214743294	0.09239579360611479	0.06833139724219467	0.044010320313756006	0.03514812238831584	0.042236426616764224	0.0	0.17936740416078673	0.11164209594080016	0.16136851067478375	0.10728916484575675	0.1152995499572984	0.08197174781073516	0.16440909961043573	0.13854667694829323	0.08656214533668909	0.11539745354637444	0.06178177391326527	0.09451425666201019
G1-18	0.20545774179749807	0.21231132509471592	0.14710068185342626	0.13627514260397414	0.2045915316002608	0.14127915176155686	0.17936740416078673	0.0	0.1519264348425079	0.1395357033483172	0.14417274622001072	0.1406220278461716	0.1753095159257243	0.13909008034885392	0.06195875879645462	0.1270744558997583	0.06623658508416917	0.12028887008773097	0.12574298797626524
G3-61	0.1347426195872207	0.1389671133629001	0.09969883736137926	0.08075022685537604	0.13496341786362695	0.08311475364483895	0.11164209594080016	0.1519264348425079	0.0	0.1286666650370633	0.040969827413149015	0.025532555550355104	0.03594379801107697	0.12178669988962411	0.13565276610501267	0.1100856263686653	0.08921394139989913	0.09251019105907203	0.11809521121423601
G3-62	0.17450507329848255	0.19359008350006338	0.1104735255714188	0.15534478619949982	0.1947571949305951	0.12495471382252141	0.16136851067478375	0.1395357033483172	0.1286666650370633	0.0	0.09138508145549898	0.12401685283502314	0.1480700497647413	0.021108273282303608	0.08006197030809582	0.08886445907810443	0.12782218726786085	0.18567546634236262	0.08739643837606886
G3-63	0.1301251001650425	0.15090665190200017	0.07568109010649857	0.08888926849924773	0.13392920375101539	0.07500130254066743	0.10728916484575675	0.14417274622001072	0.040969827413149015	0.09138508145549898	0.0	0.03358901656720734	0.06021072563350997	0.08252069019023647	0.10680830167777945	0.0722450978989882	0.07940420389162815	0.11964605356090438	0.08007668860163053
G3-64	0.14341644315507304	0.14970252806662193	0.08415772636087349	0.08583737800539416	0.13869587771230865	0.08357122552048858	0.1152995499572984	0.1406220278461716	0.025532555550355104	0.12401685283502314	0.03358901656720734	0.0	0.055739327070877226	0.11552623134503362	0.11893850824363006	0.09466997451644511	0.07611883077197265	0.10201316142880083	0.1031432562623586
G3-65	0.1182857952439885	0.1228654256106973	0.11337314413639622	0.059965499389923294	0.10464438206620576	0.0818023842321276	0.08197174781073516	0.1753095159257243	0.03594379801107697	0.1480700497647413	0.06021072563350997	0.055739327070877226	0.0	0.13956573303848255	0.16267866414174342	0.13086816027941295	0.1161236962780707	0.07103634060773711	0.13929749695798258
G3-66	0.1786212578756402	0.19931184135966773	0.10790425555109481	0.1593201205946234	0.19724344512155456	0.12873668718349104	0.16440909961043573	0.13909008034885392	0.12178669988962411	0.021108273282303608	0.08252069019023647	0.11552623134503362	0.13956573303848255	0.0	0.08142301359694296	0.08879472353908262	0.13191812588189444	0.1904086090814439	0.08743656557249918
G3-710	0.16231196518370308	0.184668716642385	0.10113576786860214	0.11212578009720893	0.17330219142741243	0.09677188175924716	0.13854667694829323	0.06195875879645462	0.13565276610501267	0.08006197030809582	0.10680830167777945	0.11893850824363006	0.16267866414174342	0.08142301359694296	0.0	0.07595481028886984	0.06430973194808215	0.12127688349306742	0.07662604095905964
G3-711	0.11148868744796227	0.13384543890664413	0.02878168119784601	0.0890590360667969	0.12087820869508598	0.05635360078961011	0.08656214533668909	0.1270744558997583	0.1100856263686653	0.08886445907810443	0.0722450978989882	0.09466997451644511	0.13086816027941295	0.08879472353908262	0.07595481028886984	0.0	0.06745371987684325	0.11885685520996954	0.017019305057837917
G3-712	0.14553354489968906	0.15238712819690667	0.08288917179047076	0.07171531398097453	0.14065708221105877	0.07706748374820431	0.11539745354637444	0.06623658508416917	0.08921394139989913	0.12782218726786085	0.07940420389162815	0.07611883077197265	0.1161236962780707	0.13191812588189444	0.06430973194808215	0.06745371987684325	0.0	0.07131383876125141	0.0705561097896951
G3-78	0.1094991863367876	0.11635276963400551	0.10631379461938609	0.03295143401566907	0.08699437453464519	0.06555473147290385	0.06178177391326527	0.12028887008773097	0.09251019105907203	0.18567546634236262	0.11964605356090438	0.10201316142880083	0.07103634060773711	0.1904086090814439	0.12127688349306742	0.11885685520996954	0.07131383876125141	0.0	0.12884223695842578
G3-79	0.12296346074203941	0.14683739524633097	0.030443683923270216	0.09879361280036769	0.1261266727551259	0.06608817752318091	0.09451425666201019	0.12574298797626524	0.11809521121423601	0.08739643837606886	0.08007668860163053	0.1031432562623586	0.13929749695798258	0.08743656557249918	0.07662604095905964	0.017019305057837917	0.0705561097896951	0.12884223695842578	0.0
